sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
0.6819355910582632,0.20470690538708897,0.254340230119202,0.10462095339604549,0.22527308327397771,0.33565423937520084,0.2567435658301453,0.22139535957730083,0.1345513806275835,0.0006818663691640328,0.17615227260539298,0.027484397040868764,-0.18614292811425884,-0.233539713561085
-0.4971732041475192,0.0,0.0,-0.0253160403395489,0.6322977016962188,0.59361394829375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.12234436667978899,0.0,0.0,0.9906591447380929,0.0,-0.06021889145867542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.18751142064473095,0.9722518983489175,0.0,-0.028767560833795204,-0.06194320465393237,-0.09229464497225973,0.0,-0.06087694929379898,0.0,0.0,0.0,-0.0075573681771022635,0.05118360934866146,0.0
0.16378823540426304,0.04916678825398646,0.06108778897856223,0.025128005588413254,0.05410640136301377,0.0806179004206384,0.06166502548057349,0.05317504431112801,0.03231673708362931,0.00016377160959376718,0.04230849697654657,0.0066012405738908484,-0.04470806646343849,0.9723472641961854
-0.025907731309763354,0.0,0.0,-0.003974703161848082,-0.008558454184400406,-0.012751995878702745,0.0,-0.008411133785019138,0.0,0.0,0.0,0.9994780500496279,0.0070718423118420045,0.0
0.10267595754291517,0.0,0.0,-0.028894984401854167,0.7216860134046552,-0.6839532335439008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.19335799700419848,0.0,0.0,0.029664528818529715,0.06387458395186589,0.09517237736607816,0.0,0.0,0.0,0.0,0.0,0.0,0.9739583958444856,0.0
-0.1184371308490193,-0.035553062278805496,0.0,-0.018170345864611023,-0.03912495254731846,-0.05829571823229888,0.0,-0.03845147769884055,0.9883839595238106,0.0,0.0,-0.004773431935975398,0.03232890997737128,0.0
-0.000593231973546248,-0.0001780794008608247,0.0,-9.10122531676506e-05,-0.00019597040765988147,-0.00029199359802398504,0.0,-0.00019259708368088695,-0.0001170494429674871,0.9999997034141661,0.0,-2.3909330018955124e-05,0.00016193015594850304,0.0
-0.15030826873108233,-0.04512030307478402,0.0,-0.023059940827478084,-0.04965338014705784,-0.07398295128494654,0.0,-0.04879867488880833,-0.029657031166424413,-0.0001502930112445741,0.9807751903075078,-0.006057950619529565,0.041028539393243225,0.0
-0.20666739996511005,-0.06203847466826071,0.0,-0.03170642609616243,-0.06827126053078961,-0.10172337365657849,0.9618521357026928,-0.0670960775887589,-0.04077714136149664,-0.0002066464215778711,-0.05338470766836906,-0.00832942135668618,0.056412475723062065,0.0
-0.19006655466389824,-0.057055148217815155,0.9651835728920286,-0.029159563481325465,-0.06278727691856194,-0.09355230269969168,-0.0715586129090749,-0.061706492174914564,-0.03750166097280383,-0.00019004726139468605,-0.049096507044552117,-0.007660349043325193,0.05188106543438074,0.0
-0.2162626250347715,0.0,0.0,-0.033178502943302456,-0.07144098207706644,-0.10644622140733608,0.0,0.9655103938265934,0.0,0.0,0.0,0.0,0.059031613532851974,0.0
