frame,time_ps,n_selected_molecules,total_ke_J,avg temperature_K,total_ke_kJ_per_mol
111,1110.0,6,4.99833067322974e-19,287.3235055208013,
112,1120.0,7,5.408065548297528e-19,266.46570962673644,
113,1130.0,6,4.894618241403611e-19,281.3617111885516,
114,1140.0,6,5.649786729190197e-19,324.7717357257001,
115,1150.0,6,5.133065910548643e-19,295.0686114840748,
116,1160.0,5,4.0982761988869837e-19,282.70184452501496,
117,1170.0,8,7.7671054412554e-19,334.8625934880124,
118,1180.0,5,4.379917226882402e-19,302.1296317809958,
119,1190.0,6,4.67981098882506e-19,269.0137540690439,
120,1200.0,6,4.739620943078576e-19,272.4518630787574,
121,1210.0,6,5.097573348478918e-19,293.02836084431505,
122,1220.0,5,3.471460138621627e-19,239.46365172994564,
123,1230.0,6,4.81960062613923e-19,277.0494066207458,
124,1240.0,8,6.862078643613133e-19,295.84424580022096,
125,1250.0,5,4.042697421897905e-19,278.8679831626393,
126,1260.0,8,7.238797777935968e-19,312.0857076021756,
127,1270.0,5,5.198599615014234e-19,358.60289272613875,
128,1280.0,6,5.568014007305066e-19,320.07112133180857,
129,1290.0,6,4.709371953008436e-19,270.71303337067803,
130,1300.0,5,4.565519961887213e-19,314.9326330889598,
131,1310.0,6,5.094452890816217e-19,292.8489847899698,
132,1320.0,5,5.0590730319272065e-19,348.97825532134704,
133,1330.0,5,3.9050133328449036e-19,269.3704422336991,
134,1340.0,6,5.53347410919253e-19,318.0856335250139,
135,1350.0,5,3.7423563837898864e-19,258.15025665051354,
136,1360.0,5,4.1975623950550946e-19,289.5506730154472,
137,1370.0,7,6.036947607364018e-19,297.4519287552062,
138,1380.0,5,4.657303271034343e-19,321.2639073938859,
139,1390.0,7,5.9312165220991e-19,292.24235642049405,
140,1400.0,6,4.561481208373223e-19,262.2116976326777,
141,1410.0,7,6.618223533011879e-19,326.0925028446706,
142,1420.0,4,3.9991499847633623e-19,344.83006462931576,
143,1430.0,4,3.8896111129752413e-19,335.3849834540582,
144,1440.0,4,3.205967736763443e-19,276.4372594375339,
145,1450.0,9,7.780438177949661e-19,298.1665837288929,
146,1460.0,5,4.390375193118771e-19,302.8510293153554,
147,1470.0,7,5.723626587108615e-19,282.0140041853734,
148,1480.0,9,8.156495247364011e-19,312.57806661839817,
149,1490.0,7,6.019359562883381e-19,296.5853322408657,
150,1500.0,11,1.0133905803423578e-18,317.7471036646009,
151,1510.0,8,6.7036880523951145e-19,289.0155649537314,
152,1520.0,5,4.0659095392305653e-19,280.4691706050708,
153,1530.0,6,5.648826548570105e-19,324.716540805689,
154,1540.0,6,4.508828338388427e-19,259.185005689148,
155,1550.0,4,3.1367985656713396e-19,270.4730895942122,
156,1560.0,7,5.211737099243655e-19,256.7922322936953,
157,1570.0,6,4.928192025628162e-19,283.2916630079987,
158,1580.0,9,7.330008238758343e-19,280.9049394479173,
159,1590.0,7,5.576156628120864e-19,274.7478778931972,
160,1600.0,5,4.935933834130945e-19,340.4840307593744,
161,1610.0,9,7.721380645440749e-19,295.90334580978106,
162,1620.0,13,1.2498367104736454e-18,331.5945217518292,
163,1630.0,5,5.245817778830347e-19,361.8600333770117,
164,1640.0,9,7.266573623952988e-19,278.47396037526374,
165,1650.0,8,6.804970207692783e-19,293.3821343860052,
166,1660.0,5,4.974153369482394e-19,343.1204399754438,
167,1670.0,8,6.2545768428097355e-19,269.65306942129143,
168,1680.0,5,4.672172853596608e-19,322.289621185165,
169,1690.0,7,6.271258869017094e-19,308.9968917465623,
170,1700.0,8,7.075477803039448e-19,305.04450663279545,
171,1710.0,7,6.019185510554252e-19,296.57675635047036,
172,1720.0,4,3.4712878469282976e-19,299.3147086665399,
173,1730.0,5,4.1581324272946406e-19,286.8307673589008,
174,1740.0,5,3.707306794841263e-19,255.73251246618784,
175,1750.0,6,4.2903516442958636e-19,246.62611478633593,
176,1760.0,7,6.532389179659031e-19,321.86328045965007,
177,1770.0,8,8.274032693879518e-19,356.7177074435697,
178,1780.0,5,4.526541326655963e-19,312.24386065338444,
179,1790.0,5,4.2847650121680715e-19,295.56596810755025,
180,1800.0,10,8.429537176591216e-19,290.7375677805359,
181,1810.0,6,5.204311270968277e-19,299.16407215807516,
182,1820.0,4,3.844535078884941e-19,331.49826457434324,
183,1830.0,4,3.394951728788857e-19,292.73256279757675,
184,1840.0,7,6.112592926404941e-19,301.17911797622554,
185,1850.0,6,5.7943752277634745e-19,333.0832455044678,
186,1860.0,7,5.688991190902194e-19,280.307452120513,
187,1870.0,8,7.045697514347647e-19,303.76059143664133,
188,1880.0,8,6.171225747899006e-19,266.05956035630294,
189,1890.0,6,4.501448232172315e-19,258.76076845320716,
190,1900.0,5,4.455087449745504e-19,307.31492423701104,
191,1910.0,5,3.723366162158283e-19,256.8402984088872,
192,1920.0,2,1.4912563505517937e-19,257.1696614024746,
193,1930.0,8,6.647876359506663e-19,286.60935991777114,
194,1940.0,5,4.0434630448312287e-19,278.92079634675804,
195,1950.0,6,4.768974419866145e-19,274.13921519713546,
196,1960.0,6,4.593858168948383e-19,264.07285136954187,
197,1970.0,8,6.4725507504497475e-19,279.05056100642605,
198,1980.0,5,4.798743136459203e-19,331.02052429926607,
199,1990.0,6,5.130673381598787e-19,294.93107960595916,
200,2000.0,7,6.083335288426378e-19,299.7375383214793,
201,2010.0,6,4.88595607886969e-19,280.8637763644379,
202,2020.0,5,3.6391966749104442e-19,251.0342306518749,
203,2030.0,7,5.312706963266154e-19,261.76721017208655,
204,2040.0,6,4.997991252251503e-19,287.3039942816117,
205,2050.0,8,6.507054778337373e-19,280.5381303913945,
206,2060.0,7,5.837531634281344e-19,287.62632322142935,
207,2070.0,6,4.938400774881013e-19,283.8785016575545,
208,2080.0,7,5.377239195685005e-19,264.94683640844016,
209,2090.0,6,5.725495334971347e-19,329.12376111842514,
210,2100.0,8,7.16221809092505e-19,308.7841337024873,
211,2110.0,7,5.589052112640954e-19,275.383263023599,
212,2120.0,6,4.698899896154479e-19,270.1110587751582,
213,2130.0,3,2.266559375005319e-19,260.5813131113872,
214,2140.0,7,6.051065537791042e-19,298.14754612820246,
215,2150.0,5,4.735205353643453e-19,326.63764536984684,
216,2160.0,6,4.67190735095095e-19,268.5594221953008,
217,2170.0,6,4.986399995096608e-19,286.63768369576457,
218,2180.0,4,2.8208369046230924e-19,243.22903012788535,
219,2190.0,4,3.4975919113771906e-19,301.5827987052941,
220,2200.0,4,3.331939857956962e-19,287.29931133810123,
221,2210.0,4,3.249579158780424e-19,280.1976909117192,
222,2220.0,5,4.65105707944418e-19,320.83304090317074,
223,2230.0,4,3.899302839125298e-19,336.2206606773248,
224,2240.0,3,2.3341478112904525e-19,268.35180598818823,
225,2250.0,5,4.566981983142441e-19,315.0334842970116,
226,2260.0,8,6.872459098196723e-19,296.2917775055307,
227,2270.0,5,5.073428402080422e-19,349.96849839531444,
228,2280.0,8,6.994779669266993e-19,301.5653744684304,
229,2290.0,4,3.4192327421266266e-19,294.82621355597,
230,2300.0,3,2.3021564936096626e-19,264.67383502420046,
231,2310.0,4,3.418093673203831e-19,294.7279963818802,
232,2320.0,4,3.5793640242349746e-19,308.63366778223707,
233,2330.0,5,3.910444341907953e-19,269.74507688623265,
234,2340.0,2,1.6406511101234068e-19,282.9330385174285,
235,2350.0,5,3.688669742475341e-19,254.4469160776901,
236,2360.0,5,3.6899075103454564e-19,254.53229813663242,
237,2370.0,5,4.1041829732531015e-19,283.1092977876691,
238,2380.0,3,2.4318956016298635e-19,279.5896530268613,
239,2390.0,7,5.95536486479325e-19,293.43219134665014,
240,2400.0,5,4.424090226434953e-19,305.17671495589275,
241,2410.0,5,3.5294850609113486e-19,243.46624983794527,
242,2420.0,3,2.5671874087987406e-19,295.14385255679673,
243,2430.0,5,4.906751516902616e-19,338.4710149186647,
244,2440.0,7,6.173289935549664e-19,304.1697754432122,
245,2450.0,3,2.499069636509388e-19,287.3125030915571,
246,2460.0,5,4.315230053208056e-19,297.6674670982411,
247,2470.0,5,3.902464686169865e-19,269.19463487443153,
248,2480.0,5,3.650255079621733e-19,251.79704683547774,
249,2490.0,4,3.228444879504884e-19,278.3753699394515,
250,2500.0,4,2.9900119272575178e-19,257.8162884730226,
251,2510.0,4,3.043991116632219e-19,262.47068939112614,
252,2520.0,3,2.3968189365114705e-19,275.5569664990276,
253,2530.0,2,1.74374507747067e-19,300.71176627642404,
254,2540.0,4,3.7080224952346676e-19,319.7273524499699,
255,2550.0,5,3.699522895564979e-19,255.1955738665883,
256,2560.0,4,3.07649875699999e-19,265.27368797124274,
257,2570.0,5,4.1411612705259595e-19,285.6600855674851,
258,2580.0,5,5.271476821616323e-19,363.6300113805224,
259,2590.0,4,2.924852141814602e-19,252.1978312730878,
260,2600.0,7,5.426426430415156e-19,267.3703853262362,
261,2610.0,6,6.145564039883335e-19,353.27094559769984,
262,2620.0,5,4.839938996216421e-19,333.8622423716894,
263,2630.0,5,4.835153263258827e-19,333.5321192982657,
264,2640.0,3,2.2748024481121954e-19,261.5290009760645,
265,2650.0,4,3.5895313360214514e-19,309.51035277624703,
266,2660.0,5,4.1535651589580635e-19,286.51571412175156,
267,2670.0,7,5.414671106822259e-19,266.79117810045483,
268,2680.0,8,7.242225485770532e-19,312.2334860949336,
269,2690.0,7,6.785715639630884e-19,334.34515855834997,
270,2700.0,9,7.134715179631814e-19,273.42080257362795,
271,2710.0,7,5.033777924881324e-19,248.023844178286,
272,2720.0,4,3.8636995669496747e-19,333.15073864586543,
273,2730.0,5,4.452763318189104e-19,307.15460408140723,
274,2740.0,7,5.226982308233712e-19,257.54339283264665,
275,2750.0,7,6.119729425155418e-19,301.53074688804503,
276,2760.0,9,6.284471774113288e-19,240.83726861792397,
277,2770.0,7,5.933007309792801e-19,292.33059194747335,
278,2780.0,4,3.6949236706975037e-19,318.5978953080954,
279,2790.0,6,5.031528108883564e-19,289.2318233592837,
280,2800.0,8,6.763656768158341e-19,291.6009913832424,
281,2810.0,6,4.92424632164963e-19,283.0648485827484,
282,2820.0,8,6.814936101394318e-19,293.8117931612802,
283,2830.0,9,7.246041906738647e-19,277.68713168517303,
284,2840.0,5,3.5831929765864043e-19,247.1710579304442,
285,2850.0,5,4.0089550740694283e-19,276.5404133487,
286,2860.0,5,4.308218252166551e-19,297.18378835340343,
287,2870.0,5,4.33932749607963e-19,299.32972489091514,
288,2880.0,7,6.334248432948092e-19,312.1005077626877,
289,2890.0,7,5.964783418261109e-19,293.89626144917696,
290,2900.0,9,7.616484975358402e-19,291.8834714940843,
291,2910.0,11,9.15812986261367e-19,287.1517947055218,
292,2920.0,9,7.257670183732869e-19,278.1327574387259,
293,2930.0,11,9.03385712537308e-19,283.25524158092793,
294,2940.0,4,3.687804410549203e-19,317.9840311253554,
295,2950.0,4,3.222775095699136e-19,277.88648807114964,
296,2960.0,3,2.6485757845285747e-19,304.50089391805983,
297,2970.0,5,4.0497357684760364e-19,279.3534930364209,
298,2980.0,3,2.4682238898289597e-19,283.766235889151,
299,2990.0,3,2.7943873717053625e-19,321.2645292643845,
300,3000.0,6,5.049104504572965e-19,290.24218300814545,
301,3010.0,8,7.989816928521234e-19,344.4643359633091,
302,3020.0,6,4.420882489947087e-19,254.12953594891977,
303,3030.0,2,1.1203619647457493e-19,193.20830185585757,
304,3040.0,5,4.0077180381964274e-19,276.4550817834102,
305,3050.0,4,4.1316226614820405e-19,356.25263238710477,
306,3060.0,7,5.868770723308218e-19,289.16553275047414,
307,3070.0,3,2.508777774290234e-19,288.42862619810194,
308,3080.0,4,3.0262133267477486e-19,260.93778453429786,
309,3090.0,6,5.666081435707229e-19,325.7084188913381,
310,3100.0,8,6.310832805369201e-19,272.0784282199203,
311,3110.0,7,5.7711071931520325e-19,284.35346425106167,
312,3120.0,7,5.962981607686502e-19,293.8074828038207,
313,3130.0,5,4.2491842824826805e-19,293.11158547849806,
314,3140.0,9,6.750834122048017e-19,258.7094841516933,
315,3150.0,5,4.471510360936262e-19,308.4477876802701,
316,3160.0,8,7.476739987937626e-19,322.3440910043387,
317,3170.0,6,4.438688673147817e-19,255.153104678492,
318,3180.0,2,1.809907950043712e-19,312.1216647360204,
319,3190.0,4,3.2124355870829277e-19,276.99495526094086,
320,3200.0,4,2.9262806386230583e-19,252.32100460958668,
321,3210.0,4,4.380584382361631e-19,377.7195657675028,
322,3220.0,5,3.8868927804863805e-19,268.1204743625836,
323,3230.0,4,3.114403145627716e-19,268.54202570051814,
324,3240.0,8,7.196066610216287e-19,310.24344219795177,
325,3250.0,7,5.617506582272869e-19,276.78526904124203,
326,3260.0,7,5.788129276204925e-19,285.1921747658486,
327,3270.0,3,2.9456758687793725e-19,338.657832815544,
328,3280.0,6,4.618078873756717e-19,265.46515177275194,
329,3290.0,7,6.927861574795196e-19,341.34896003705774,
330,3300.0,6,4.825093082261448e-19,277.3651343806972,
331,3310.0,7,6.492713837550377e-19,319.9084006425972,
332,3320.0,7,6.042454623357652e-19,297.72326994209914,
333,3330.0,9,7.476024044038142e-19,286.5006440644116,
334,3340.0,7,5.098210809146456e-19,251.19857534152243,
335,3350.0,4,4.1442929453671334e-19,357.34513825150464,
336,3360.0,9,7.630211818424798e-19,292.4095197459796,
337,3370.0,5,4.1630513823607387e-19,287.17008018283866,
338,3380.0,4,3.14516434343077e-19,271.19443580439423,
339,3390.0,4,3.715971050932259e-19,320.41272333762174,
340,3400.0,7,5.355674312300654e-19,263.8842934524218,
341,3410.0,7,5.710779385128844e-19,281.38099802786934,
342,3420.0,10,8.863162346139392e-19,305.69344548553715,
343,3430.0,7,6.371683903812751e-19,313.94502484926454,
344,3440.0,6,5.42628733314202e-19,311.92412036117884,
345,3450.0,6,4.997909198337941e-19,287.2992775032256,
346,3460.0,11,9.144124792779346e-19,286.71266783156034,
347,3470.0,11,8.771834135097792e-19,275.039549835956,
348,3480.0,8,6.680001878519515e-19,287.99438484052456,
349,3490.0,9,6.862923320604209e-19,263.0050331480373,
350,3500.0,9,7.376564865373236e-19,282.6891102092821,
351,3510.0,8,7.227311155689932e-19,311.5904857792177,
352,3520.0,4,3.7523549617833935e-19,323.549956594205,
353,3530.0,7,6.924259323254017e-19,341.1714702295468,
354,3540.0,4,3.0042659645336395e-19,259.0453548030879,
355,3550.0,6,5.449035014947606e-19,313.2317456677353,
356,3560.0,9,6.496417019107208e-19,248.95956047245213,
357,3570.0,6,5.638075686323125e-19,324.0985393907931,
358,3580.0,8,6.346637811010678e-19,273.6220865543719,
359,3590.0,7,5.98512418336588e-19,294.8984897616093,
360,3600.0,8,5.973118549558742e-19,257.51858061467317,
361,3610.0,7,6.257830111714683e-19,308.3352312485459,
362,3620.0,5,4.703113403634484e-19,324.42392110587355,
363,3630.0,7,6.568850845876947e-19,323.65981633299737,
364,3640.0,4,3.717047184946776e-19,320.5055138964129,
365,3650.0,8,7.526849520081213e-19,324.5044592417705,
366,3660.0,8,6.342245251184197e-19,273.432710475127,
367,3670.0,6,4.503820805615897e-19,258.89715321113573,
368,3680.0,6,4.735919393420509e-19,272.2390835943366,
369,3690.0,9,7.538865043380671e-19,288.90887425190584,
370,3700.0,5,4.311520147014954e-19,297.4115552775373,
371,3710.0,7,6.2849746234918955e-19,309.6726931429312,
372,3720.0,5,4.548393611714512e-19,313.7512459523099,
373,3730.0,1,5.403960625656324e-20,186.38441657842566,
374,3740.0,3,2.852828100589922e-19,327.98333047465036,
375,3750.0,4,3.9094003841095534e-19,337.0913299702456,
376,3760.0,3,2.5737615708981534e-19,295.89966941796683,
377,3770.0,6,4.490814110351747e-19,258.1494777324901,
378,3780.0,9,7.702013292931995e-19,295.16113859711095,
379,3790.0,7,5.7612687942767985e-19,283.86870756413407,
380,3800.0,4,3.785957254405105e-19,326.44734248385265,
381,3810.0,8,6.43256777112073e-19,277.3267780277147,
382,3820.0,6,4.265402874764069e-19,245.1919623884767,
383,3830.0,6,5.0634771541258885e-19,291.06837885694864,
384,3840.0,4,3.9899309873109107e-19,344.03514883484496,
385,3850.0,4,3.122959756634864e-19,269.2798266676848,
386,3860.0,5,4.610028386437541e-19,318.0028541054685,
387,3870.0,5,4.2361353558436157e-19,292.2114617555198,
388,3880.0,3,2.1697965064370777e-19,249.45670034809802,
389,3890.0,4,3.6871377449964845e-19,317.92654732842203,
390,3900.0,7,6.309282534450179e-19,310.870390301961,
391,3910.0,4,3.313312338508948e-19,285.69313783632845,
392,3920.0,4,3.3007287938676265e-19,284.60811113603836,
393,3930.0,4,3.4093365319772694e-19,293.9729045282042,
394,3940.0,4,3.1286605834162725e-19,269.7713852426228,
395,3950.0,5,4.783877887526913e-19,329.99510944469296,
396,3960.0,5,3.704910384649299e-19,255.56720648176184,
397,3970.0,7,5.841890930656468e-19,287.8411140725565,
398,3980.0,9,7.273668077635258e-19,278.7458382527668,
399,3990.0,7,5.913115388566347e-19,291.35047902944206,
400,4000.0,5,4.669695338623697e-19,322.1187205384808,
401,4010.0,4,3.996070203760773e-19,344.56450792696324,
402,4020.0,4,3.628228041556826e-19,312.8470086960161,
403,4030.0,5,3.7288907435206864e-19,257.22138774147146,
404,4040.0,6,5.15244710753218e-19,296.1827181373868,
405,4050.0,8,6.020228298382537e-19,259.54961943460654,
406,4060.0,8,6.207112542705319e-19,267.6067448604536,
407,4070.0,6,4.773997175162166e-19,274.4279427250589,
408,4080.0,6,5.950985612384664e-19,342.0858200942848,
409,4090.0,7,5.663932725362406e-19,279.07277370499,
410,4100.0,7,5.834574908290228e-19,287.48063968960844,
411,4110.0,9,7.676753077760096e-19,294.1931015933073,
412,4120.0,6,4.715575791289737e-19,271.0696541465331,
413,4130.0,7,6.543377669093412e-19,322.40470430311285,
414,4140.0,8,6.456507907867981e-19,278.3589072218236,
415,4150.0,9,8.163965984096354e-19,312.8643646389562,
416,4160.0,6,4.897228093188954e-19,281.5117356292857,
417,4170.0,2,1.5469940330615583e-19,266.7817183322512,
418,4180.0,4,3.6156916866055e-19,311.7660509663605,
419,4190.0,5,3.4515227070267397e-19,238.0883543089235,
420,4200.0,5,4.027774034636362e-19,277.83855788706967,
421,4210.0,7,6.373415867225934e-19,314.03036199169,
422,4220.0,7,6.415803348778639e-19,316.1188740946522,
423,4230.0,7,5.2745971902007e-19,259.8894689293243,
424,4240.0,4,3.381070849831831e-19,291.5356723568332,
425,4250.0,7,6.523401068806553e-19,321.4204190861847,
426,4260.0,5,4.377263179017476e-19,301.9465537768643,
427,4270.0,6,4.500124611818803e-19,258.68468160245374,
428,4280.0,7,5.954247354759551e-19,293.3771294947763,
429,4290.0,7,5.44331864613682e-19,268.20269702979124,
430,4300.0,9,6.796306904737421e-19,260.4521192009083,
431,4310.0,7,6.732969987304881e-19,331.7462796151763,
432,4320.0,8,7.057284353165441e-19,304.26013388861395,
433,4330.0,8,7.065260465117777e-19,304.604007363039,
434,4340.0,6,5.465139263319162e-19,314.1574805577207,
435,4350.0,10,8.3815093359053725e-19,289.08107142798065,
436,4360.0,8,6.74416329210676e-19,290.76057071480943,
437,4370.0,6,5.222085188893108e-19,300.1857861539805,
438,4380.0,7,5.225851058379729e-19,257.48765399360803,
439,4390.0,5,4.148039986683469e-19,286.13458402764746,
440,4400.0,5,4.49441796794281e-19,310.02796979590306,
441,4410.0,8,7.386148186819365e-19,318.43841395377603,
442,4420.0,4,3.0219286250977946e-19,260.5683325376236,
443,4430.0,8,6.507944267942215e-19,280.5764788853361,
444,4440.0,7,6.25161339215054e-19,308.02892161242625,
445,4450.0,7,5.297199544279353e-19,261.00313004622757,
446,4460.0,7,5.529801833592143e-19,272.46388870919304,
447,4470.0,6,5.068014762869163e-19,291.3292182723523,
448,4480.0,4,3.4557608611061956e-19,297.9758812794869,
449,4490.0,7,6.359479985889099e-19,313.34371452476677,
450,4500.0,10,8.632462119762323e-19,297.73651721080944,
451,4510.0,7,5.178392553316441e-19,255.14928288538545,
452,4520.0,8,7.54608832463831e-19,325.3339002785021,
453,4530.0,6,5.5136945655259295e-19,316.948628353602,
454,4540.0,8,6.326832381912423e-19,272.76821667927555,
455,4550.0,8,7.366000967522287e-19,317.5698085052705,
456,4560.0,4,3.9856695065887947e-19,343.6676990821668,
457,4570.0,6,5.99101135051094e-19,344.386655341359,
458,4580.0,4,3.0967965821647273e-19,267.0238849856228,
459,4590.0,7,5.861883548133327e-19,288.82618848700105,
460,4600.0,6,5.252431686625332e-19,301.93022098207234,
461,4610.0,4,3.0432349160154955e-19,262.4054853581363,
462,4620.0,6,4.481535900530362e-19,257.61613011203036,
463,4630.0,8,6.901956134199266e-19,297.56348085122704,
464,4640.0,10,8.282921027272215e-19,285.68072755818923,
465,4650.0,9,8.71627957713828e-19,334.0304549564733,
466,4660.0,7,5.984432760526867e-19,294.864422038908,
467,4670.0,10,8.475502346721798e-19,292.32292193301487,
468,4680.0,11,8.382006745647479e-19,262.8165702336468,
469,4690.0,8,6.388632348930494e-19,275.43259369715724,
470,4700.0,8,6.543284129485064e-19,282.10008349959674,
471,4710.0,6,5.966605149900792e-19,342.9836919173285,
472,4720.0,4,3.2047293089333524e-19,276.3304749582531,
473,4730.0,12,9.617135095232758e-19,276.4151823156493,
474,4740.0,6,4.822858133182847e-19,277.2366608070372,
475,4750.0,7,6.523165794888625e-19,321.4088266912818,
476,4760.0,12,1.0040015493888185e-18,288.56958810641305,
477,4770.0,8,6.915770428746535e-19,298.15905542328517,
