frame,time_ps,n_selected_molecules,total_ke_J,avg temperature_K
0,0.0,3477,2.962319204332175e-16,293.849249573069
1,10.0,3484,2.955941085302051e-16,292.6274414738641
2,20.0,3485,2.969032434314597e-16,293.839097942295
3,30.0,3493,2.9940655931315414e-16,295.63792638530566
4,40.0,3484,2.987369129503057e-16,295.7387038095031
5,50.0,3481,2.9767228577455964e-16,294.9387271456402
6,60.0,3482,2.944957163614449e-16,291.7075286105413
7,70.0,3489,2.961261835494931e-16,292.7340644032816
8,80.0,3477,2.955237663125376e-16,293.1467913213062
9,90.0,3483,2.9522016938719196e-16,292.3411649251114
10,100.0,3477,2.9436870222811907e-16,292.00101771959964
11,110.0,3471,2.9531589359620273e-16,293.4469701657651
12,120.0,3475,2.953604705529752e-16,293.1534333427717
13,130.0,3478,2.9693181455367023e-16,294.458826650027
14,140.0,3479,2.9272485775116233e-16,290.20346760887065
15,150.0,3487,2.94546040159678e-16,291.33902583648893
16,160.0,3481,2.96456544763501e-16,293.7341504232646
17,170.0,3479,2.9501178641361755e-16,292.47069777550996
18,180.0,3481,2.967951886613252e-16,294.0696845154627
19,190.0,3482,2.9575740204451563e-16,292.9572690720976
20,200.0,3481,2.9601222891610605e-16,293.29391477908854
21,210.0,3480,2.9695622733790426e-16,294.31379298890096
22,220.0,3474,2.9405602291884443e-16,291.94274530048375
23,230.0,3485,2.93562766536027e-16,290.5330959387243
24,240.0,3485,2.98402085886092e-16,295.3224718176916
25,250.0,3480,2.9554316288812754e-16,292.91330254733043
26,260.0,3475,2.942318249121747e-16,292.0332213387463
27,270.0,3484,2.963560509211933e-16,293.3817367929895
28,280.0,3482,2.95315412687489e-16,292.51946432368425
29,290.0,3490,2.953092372169992e-16,291.84282961890625
30,300.0,3484,2.952984765888685e-16,292.3347765792847
31,310.0,3483,2.971339084226429e-16,294.2362410648877
32,320.0,3484,2.9510252325902465e-16,292.14078989313055
33,330.0,3474,2.9578761904945323e-16,293.661897056342
34,340.0,3474,2.9513247111154645e-16,293.0114574371432
35,350.0,3478,2.95269481984595e-16,292.81033876896976
36,360.0,3477,2.959401646537797e-16,293.5598404617179
37,370.0,3483,2.9492330228737395e-16,292.0471928907179
38,380.0,3478,2.9368253634111127e-16,291.2366099557068
39,390.0,3476,2.9577762620199513e-16,293.48301631395236
40,400.0,3481,2.9779426003044685e-16,295.05958129799205
41,410.0,3479,2.9619219055339917e-16,293.6409344857646
42,420.0,3484,2.950827609206106e-16,292.1212258951997
43,430.0,3483,2.953941010157162e-16,292.51340036216044
