mode_index,sing_value,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1
0,2363.1331095946234,0.07757052051939829,0.3099537345413666,0.0,0.9438042146637562,-0.08356030089170007,0.012584719714707275,0.0,-0.0020981224300931876
1,647.0077367824417,0.8722280849375905,-0.47340030663824584,0.0,0.0893959453078394,0.05395226747163364,-0.05801597379175277,0.0,0.029016927871514723
2,389.30043912688996,0.46784766911366965,0.8092982936823239,0.0,-0.2990968103930329,0.07040862982047398,0.10617147699244184,0.0,0.1430600247467749
3,105.16898237307367,-0.09576425782759206,-0.052935400157830007,0.0,0.10703829540954359,0.9414189628735491,0.15987009938093877,0.0,0.25444398463061013
4,45.18599266524069,-0.05451904391841745,-0.13918576274302952,0.0,0.01804732893577467,-0.3142711616819822,0.4600725634065837,0.0,0.816637107014921
5,32.3332312491191,0.04665213253767107,-0.05179064414859691,0.0,-0.00040569972439752117,-0.010650214716700012,0.864857315869135,0.0,-0.49704078226058973
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
