,sigma_C1,sigma_C2,sigma_F1,sigma_F2,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_F2,epsilon_H1,mapd_liq_density,mapd_vap_density,mapd_Pvap,mapd_Hvap,mapd_Tc,mapd_rhoc
0,0.3110204608017705,0.3929425752700122,0.2706873766914119,0.3101830942181804,0.2483982110519212,0.3581449605285599,0.4364920296718609,0.1692600849917452,0.1943315064946084,0.0814050174197777,0.398003147452892,2.466470812084983,2.4185156263103256,2.39405639949891,0.205958841381802,0.10694807980634873
7,0.3432454856873532,0.3960152060610735,0.2885642280129233,0.2974843035210192,0.2167672845595428,0.2770337207736898,0.3455587946317525,0.1794438690278182,0.2271492054883272,0.0323421504674741,0.3438285201996405,3.0007499653153507,1.0893677392724752,2.1701240853274606,0.205958841381802,0.10694807980634873
12,0.3632354475803093,0.3710722803154931,0.2613595038477143,0.3109005025033307,0.2134991003958416,0.2041473219655319,0.2572580510984538,0.2312028726343131,0.3000584969390198,0.0310832499920548,0.7180321637370156,3.225606960453261,2.5605781805651926,2.138299851239068,0.205958841381802,0.10694807980634873
14,0.3661422308266095,0.3457573268348172,0.3484514516002898,0.2506200453218361,0.2583282812521414,0.4949779381153635,0.4037557152479724,0.2032986059730312,0.1465542630181136,0.0547174492498619,1.7376673799634565,0.999372963918865,1.9924057563414028,0.9255109001920423,0.205958841381802,0.10694807980634873
16,0.3694642509299388,0.3100291992564684,0.251917901407676,0.3158651512946431,0.2388916191434349,0.3745359142791755,0.4195395809695593,0.2634358483770342,0.2406035068077243,0.0542795333827351,0.6931669061795859,1.5965196567334392,1.7584433128881864,2.473208681037241,0.205958841381802,0.10694807980634873
17,0.3710838845536524,0.3938721269813989,0.2982393717806639,0.2767830149887393,0.2642289643187707,0.3046648423678729,0.2225411734076286,0.2082209892458104,0.2376347260248945,0.0713814545568917,0.5644610121595425,2.817050509626117,1.726359308036309,1.8826344610693047,0.205958841381802,0.10694807980634873
18,0.3730278944081714,0.3216377037627753,0.2756251064364021,0.307319227333498,0.1709048062295202,0.4634784064884138,0.4251709427282457,0.1659405376139671,0.2252130848464135,0.0263560352908036,0.15477937653033036,3.2322571073752235,4.644731032041091,0.4291645088684429,0.205958841381802,0.10694807980634873
20,0.3753390312867821,0.3177161734010451,0.258502580775082,0.3082784759259784,0.1706606166764389,0.3260110063771721,0.2000815658130471,0.2859920191636531,0.3090847915460961,0.0434322572757795,0.24788451470183995,2.054489014052345,2.9859106948967273,1.8547318274936921,0.205958841381802,0.10694807980634873
21,0.3781451905661676,0.3837703357168202,0.3258740718507502,0.2654477431990796,0.2038220312461259,0.3715866805124896,0.2146119640021535,0.1926419513950334,0.2478763328404182,0.018906590791776,1.316257910432667,3.5971686496531174,1.5973351727924412,1.244156372368067,0.205958841381802,0.10694807980634873
22,0.3804896844721986,0.361670364077036,0.3200913590647307,0.2644069660247111,0.2487703544345511,0.4937187350434753,0.2286014057044297,0.2354198863660775,0.1466051445517914,0.0539958574886967,1.0305835806386614,2.2145101988791356,2.1995851450038404,1.4226086009418322,0.205958841381802,0.10694807980634873
23,0.3849365969000282,0.3940144648384114,0.2621863524932679,0.3063496231413958,0.252939153688448,0.2868860005033085,0.4261306323730549,0.1902545851670339,0.1352072539856181,0.0387851247405393,0.5785822814474604,4.802254492974663,3.264095100222627,1.8926229334530986,0.205958841381802,0.10694807980634873
