,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1,temperature,liq_density,iter
0,0.20032362275954335,0.2995896503997298,0.3843820871581155,0.440899619307596,0.617476861422446,0.02109091648120175,1.1974314861231459,1.0090764156057668,313.15,738.370217391559,1
1,0.20032362275954335,0.2995896503997298,0.3843820871581155,0.440899619307596,0.617476861422446,0.02109091648120175,1.1974314861231459,1.0090764156057668,318.15,733.0397006968697,1
2,0.20032362275954335,0.2995896503997298,0.3843820871581155,0.440899619307596,0.617476861422446,0.02109091648120175,1.1974314861231459,1.0090764156057668,323.15,726.3317169958189,1
3,0.20032362275954335,0.2995896503997298,0.3843820871581155,0.440899619307596,0.617476861422446,0.02109091648120175,1.1974314861231459,1.0090764156057668,328.15,720.6655744928592,1
4,0.20032362275954335,0.2995896503997298,0.3843820871581155,0.440899619307596,0.617476861422446,0.02109091648120175,1.1974314861231459,1.0090764156057668,333.15,716.0802493699786,1
5,0.20111233224506964,0.17152599615339542,0.20534312438895325,0.3111418444748868,0.2701413015654582,0.02665200806564805,0.8060170521821792,1.2825490003440816,313.15,2063.3656519325864,1
6,0.20111233224506964,0.17152599615339542,0.20534312438895325,0.3111418444748868,0.2701413015654582,0.02665200806564805,0.8060170521821792,1.2825490003440816,318.15,2050.5609104990817,1
7,0.20111233224506964,0.17152599615339542,0.20534312438895325,0.3111418444748868,0.2701413015654582,0.02665200806564805,0.8060170521821792,1.2825490003440816,323.15,2035.3220230462503,1
8,0.20111233224506964,0.17152599615339542,0.20534312438895325,0.3111418444748868,0.2701413015654582,0.02665200806564805,0.8060170521821792,1.2825490003440816,328.15,2021.8081560344613,1
9,0.20111233224506964,0.17152599615339542,0.20534312438895325,0.3111418444748868,0.2701413015654582,0.02665200806564805,0.8060170521821792,1.2825490003440816,333.15,2007.2562507223672,1
10,0.20279218233287657,0.1826201429878589,0.24050261495578046,0.44508504409726113,0.24246491600555387,0.06707597524032313,1.3544259624113915,1.40411943348093,313.15,1304.5674992698234,1
11,0.20279218233287657,0.1826201429878589,0.24050261495578046,0.44508504409726113,0.24246491600555387,0.06707597524032313,1.3544259624113915,1.40411943348093,318.15,1298.4608574050849,1
12,0.20279218233287657,0.1826201429878589,0.24050261495578046,0.44508504409726113,0.24246491600555387,0.06707597524032313,1.3544259624113915,1.40411943348093,323.15,1292.6347210139381,1
13,0.20279218233287657,0.1826201429878589,0.24050261495578046,0.44508504409726113,0.24246491600555387,0.06707597524032313,1.3544259624113915,1.40411943348093,328.15,1287.0661974468026,1
14,0.20279218233287657,0.1826201429878589,0.24050261495578046,0.44508504409726113,0.24246491600555387,0.06707597524032313,1.3544259624113915,1.40411943348093,333.15,1282.1892069344137,1
15,0.20356518658762338,0.2963370581514584,0.28162462598298055,0.3132891184468034,0.22880183830218917,0.05596387153150882,0.9111305433550138,0.9857707936814875,313.15,574.7766651274061,1
16,0.20356518658762338,0.2963370581514584,0.28162462598298055,0.3132891184468034,0.22880183830218917,0.05596387153150882,0.9111305433550138,0.9857707936814875,318.15,554.6017877394941,1
17,0.20356518658762338,0.2963370581514584,0.28162462598298055,0.3132891184468034,0.22880183830218917,0.05596387153150882,0.9111305433550138,0.9857707936814875,323.15,528.5716722344265,1
18,0.20356518658762338,0.2963370581514584,0.28162462598298055,0.3132891184468034,0.22880183830218917,0.05596387153150882,0.9111305433550138,0.9857707936814875,328.15,506.7313998106812,1
19,0.20356518658762338,0.2963370581514584,0.28162462598298055,0.3132891184468034,0.22880183830218917,0.05596387153150882,0.9111305433550138,0.9857707936814875,333.15,,1
20,0.20468125241128587,0.2112935406990641,0.3072866995915878,0.4130137266117756,0.5685601977763335,0.033992607752635975,1.1719015899988308,1.1640000079840758,313.15,1217.831333384615,1
21,0.20468125241128587,0.2112935406990641,0.3072866995915878,0.4130137266117756,0.5685601977763335,0.033992607752635975,1.1719015899988308,1.1640000079840758,318.15,1211.291888566839,1
22,0.20468125241128587,0.2112935406990641,0.3072866995915878,0.4130137266117756,0.5685601977763335,0.033992607752635975,1.1719015899988308,1.1640000079840758,323.15,1203.3719832379547,1
23,0.20468125241128587,0.2112935406990641,0.3072866995915878,0.4130137266117756,0.5685601977763335,0.033992607752635975,1.1719015899988308,1.1640000079840758,328.15,1196.4719919649328,1
