,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1
28457,0.9909440221252004,0.10805677091650594,0.4481720866675716,0.5625576812269761,0.9023855849426855,0.7280798861498718,0.9167920168464011,0.06978638301759317
27901,0.03957749932431961,0.5107578370127711,0.2861565885174618,0.9963450836648087,0.6919949283356752,0.025864251976494303,0.27048864257542327,0.11319838647552065
30664,0.9888030143898695,0.2523251200853907,0.20258552537668853,0.7618829289551872,0.8703361974256274,0.9787324742932846,0.13114266613250283,0.16913360948008352
28383,0.9502815803304665,0.596613430449324,0.12257682181731429,0.5783283789070405,0.3857683886503701,0.2587262877964593,0.6493245103778055,0.9442944239403507
40752,0.1133039905481042,0.4383404218321981,0.5321120988695393,0.00127875635819316,0.22003767256157347,0.4249856411854791,0.14281230182255228,0.7066091074884174
32053,0.6115092933554944,0.3213713324067388,0.7254373084890379,0.5225914605847596,0.1226799538876251,0.07716582463615233,0.008718534808968618,0.06800609032157569
2798,0.46717936828459206,0.8221914254538693,0.38199704281724817,0.4811999208226323,0.9445830687309867,0.16120779312307992,0.4876349323935615,0.8564566531797768
13082,0.6622108963484213,0.7386926935548455,0.2368915300700405,0.9159948343588398,0.837436476749165,0.7867525488284167,0.9523119567527769,0.7662440338819817
22019,0.9146556749523274,0.536592089330974,0.13766510539082774,0.3169880600636494,0.030326778347313503,0.0558547944116569,0.9306944331017134,0.24777094040619263
7657,0.8820633079949598,0.5793016846432546,0.550323555685273,0.19042953289178605,0.8877764106337069,0.9405432436550794,0.2290067136963411,0.4553920571635325
24606,0.6180858932208382,0.8177567839658686,0.009761431989096125,0.7300782243492844,0.9346416874890529,0.6250793789619952,0.02583257881010081,0.45415697851548287
3490,0.9978914540103179,0.24036895053626586,0.08499978208431333,0.9208759200147021,0.5760046210009243,0.9280988432170664,0.5493142246049733,0.9108079528549652
25268,0.7591589311643119,0.8144117035426998,0.18732634534141987,0.6844706405159604,0.8776797666324871,0.8948354286507051,0.5128050416756552,0.12649064197228876
12690,0.9507422864481685,0.47355918436687444,0.2620421228688692,0.8319474173396584,0.947183667928628,0.6869650952242315,0.4635290300644564,0.5337422284612293
12603,0.048745593354946416,0.4390106119696332,0.7504394159798022,0.33785115264109933,0.8328856069026827,0.4702933891720244,0.06469126271166722,0.3247268108041038
6262,0.8574910730129461,0.22979560192263992,0.591440883617603,0.7932712771084606,0.7188745826342015,0.39094171523863663,0.048127814244929325,0.001876006000145301
14327,0.01254907786382622,0.5031467422482642,0.25876447620017934,0.8870310369169561,0.06829510153191937,0.16708857869341198,0.7957983621137579,0.07911585227637445
18321,0.396246124240579,0.5814255545543261,0.44296286230569076,0.9384639754185236,0.4909335540918567,0.6156392802688077,0.05082715564552913,0.33358888722910074
32632,0.089717535731981,0.16440747226557093,0.9590377603700345,0.9682263143048255,0.08028917873443339,0.48479484138987405,0.8017106079442446,0.08467980042494798
14004,0.9564396592538377,0.012123630229467771,0.00945154403586784,0.9628607328753688,0.0043169022888878816,0.04966106760532849,0.49462938501888387,0.8782922649885081
24356,0.23663499282115485,0.5842221179150836,0.13355078787844105,0.27577697271717655,0.080611589968958,0.4583660764227543,0.3469611979206699,0.2620659965050335
6063,0.6955854297238268,0.36177142391931194,0.9651512329752883,0.025146518443943826,0.9128507940940508,0.7030494653447431,0.9660645970044982,0.6105948476740098
22908,0.004765821827503688,0.5603305297144363,0.3347974109758349,0.6850345735958356,0.12234797201094678,0.0803535542726831,0.010581239884582606,0.906639831006689
40100,0.970597757155251,0.5294074641174302,0.19970355601810472,0.3736513840356874,0.9023827846125477,0.34136334732285495,0.07844777474342858,0.27481359400714434
34937,0.7752810546322261,0.015480293729138183,0.88435909166689,0.17765276318572382,0.6633728411950275,0.6718957133340968,0.8497155547353007,0.0015555419472323177
28392,0.5447817032721011,0.8046976817066565,0.26207212334132585,0.007710049995704922,0.9253638727968005,0.7619147457843385,0.7186209492931976,0.43319701587286
32684,0.31409291644872445,0.28530538221414375,0.9447549046408271,0.908004896806262,0.9671284905299763,0.6901309335526739,0.0203370654384885,0.022045004051354133
31440,0.5442069079834435,0.626803091765106,0.688324016680495,0.8400844290047295,0.8920592335349985,0.5623311623758986,0.981464361177378,0.0661120895090694
33609,0.7504969350049399,0.7406442229386093,0.4969319011387766,0.24094770385020026,0.9447400885381244,0.28274372846240464,0.898034231080027,0.3777017968454287
4962,0.8514706230766109,0.17301845378928468,0.8103481033966222,0.8400838323374193,0.9842231380469186,0.8837267843313985,0.08788106090554064,0.6165662629254651
15310,0.34559594693724444,0.5556558139022688,0.3638211139162059,0.8616094406150342,0.09518613566063684,0.9522668366940026,0.7561633352454199,0.2220928601555427
20665,0.7648140582298081,0.5824760352913998,0.21722118570281165,0.9925587494236701,0.8708868761108727,0.03792641186436641,0.98117171334629,0.036395155038153826
34711,0.6750550203816698,0.30484307123400195,0.9270166658918487,0.038596086761657385,0.8428183709028548,0.13448200282113912,0.32761025646242536,0.882017913797792
6799,0.5769091782232,0.6389037383843658,0.12490229713429504,0.9235703781607181,0.13530345611218958,0.9908397521329991,0.7363965568135863,0.9794687819487088
9087,0.9935190569338788,0.5494298551860756,0.049208288183529125,0.07067170561244074,0.2669139766608861,0.5981957572389467,0.17376997569120192,0.836872788686829
17677,0.11216687575608464,0.6907508208955474,0.007335873084001796,0.49438345903685665,0.6153631828151757,0.22448076750569512,0.34566430032462636,0.05666073740459321
2282,0.6517190889964753,0.6556966454290438,0.058162210846373096,0.8777180174480917,0.009662085798685957,0.048571719852375454,0.9850065080367967,0.9684537339606912
16085,0.9894623800377537,0.21651078246152222,0.5132348693191873,0.3360145072773905,0.7032714577108642,0.852517288532324,0.015207033373250762,0.8164955188692579
21994,0.07677626199568487,0.6818447538011397,0.002975642372931238,0.44685477563036774,0.19772341034856142,0.04483293143572997,0.6735578667366215,0.9202745466653072
4822,0.8849283863117852,0.21835337486087825,0.8088628925829738,0.488703785287745,0.925303078540296,0.23309640126224082,0.9603609294010762,0.6088335507827701
36947,0.5051816015846539,0.4109595022320887,0.8279536135986201,0.9675669110167779,0.3103084299582276,0.532801021581143,0.6009980117972182,0.7648582733559017
22785,0.22138560617586514,0.3398463909375759,0.9388509128102267,0.8689135952459417,0.6066257725839933,0.830569285969572,0.6839151581400749,0.14533113403052253
15669,0.6092567152287853,0.28817467646631817,0.953075293558872,0.4287652890919264,0.5813558086781815,0.3477423591016286,0.11936561173063723,0.5025584159477569
36981,0.0404698917816711,0.31010600069262834,0.9368585343304351,0.17456111405468083,0.8208550911279681,0.9392559030479166,0.7278135532292276,0.36126359764761845
6250,0.643358971591692,0.5424961191526226,0.6178811977525289,0.9910548304772592,0.6966636938952431,0.748777249991357,0.10247072159272468,0.8816452827361904
4434,0.9586518453165311,0.03284436046316166,0.5453848332670962,0.8091199064896792,0.6113393981962412,0.4070249967157611,0.6961527083981489,0.7901179431892111
35946,0.9942609992012836,0.26611378970696287,0.05146488865645158,0.7297220968121167,0.040456429242289045,0.7587425433816785,0.7411866968890183,0.22447990584817643
