,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
71,0.38288123789270007,0.9079254573713929,0.8961033732212556,0.7891215882711827,0.6518018629369007,0.17140580260477575,0.5624182998994434,0.9706340079610402,0.612656820100209,0.547675536257236,0.29357660185087425,0.9204031418345877,0.998418650996352,0.07152364363684947
140,0.7251394668984017,0.4999664291189919,0.14852468420532491,0.23089407956888872,0.384521341555956,0.7903585193668341,0.9358272128156285,0.10928474170833802,0.932038270322647,0.09222250874452662,0.0615315324019168,0.46346579826395495,0.6930792269465058,0.6287959948402546
168,0.865318621408223,0.9539028531944803,0.6651590147478297,0.258017249877574,0.8637629085249064,0.5188314789720598,0.5174077558997013,0.19766516980522042,0.5155694977872893,0.3297459894586821,0.9547801208941573,0.2742360761696935,0.686971678129836,0.05109327696654508
188,0.9668573320462541,0.7723189596022938,0.3480219794635255,0.6810459310061473,0.9206328127542717,0.18910314368155895,0.12431845637590978,0.9094340417960898,0.6351020163477584,0.1752920434857204,0.3738466640884945,0.7701504621320893,0.1639609116643829,0.3724676199190592
