,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
11306,0.01935905189295854,0.7048313187571258,0.1627359419742943,0.44828981782353083,0.43488663652126286,0.7065278893969826,0.9757572951279467,0.2466305762901004,0.9656948777364257,0.9722774936925042,0.9462937135691326,0.45546641505329444,0.17086988927432137,0.4330124678957655
25680,0.9307133139100214,0.9663223650443273,0.7181054737495925,0.11048612799538717,0.9124770201428317,0.12978160162537491,0.18696697301080933,0.13236412924427085,0.984698729413681,0.03382171644063602,0.6098199073984377,0.17700410404065978,0.4752023964452871,0.7506458051758939
2796,0.8038665095395404,0.9526211297370164,0.5039271193694224,0.4932607551390094,0.8731785605109263,0.13410301645925016,0.822335206867804,0.8243153109224791,0.3621004264304215,0.861420410754444,0.5306445707157317,0.8197622771501946,0.9649892130698859,0.8047839981827866
10901,0.4774161705904852,0.9809371290365023,0.988779152441713,0.9998102080126239,0.5903116546401467,0.6399989459715775,0.07793126813802125,0.9769192683001074,0.8744441292535186,0.060556070383403535,0.738048131664992,0.9107134154273898,0.9597090657217977,0.05328096861806836
12423,0.5491911261394045,0.7292513481903964,0.7135871475649577,0.858287899017929,0.3408574928413878,0.9411015607001859,0.28962204218862164,0.5894751794607417,0.4437803773350993,0.3096529682999995,0.19101549622894912,0.18583872977307006,0.9863180516320895,0.0668342509048867
5970,0.9504170625084178,0.8524991979819999,0.9131416640207356,0.39699666888188984,0.6575535038817159,0.981151895531476,0.5253359589782775,0.9179441265378726,0.5800880802042152,0.9011780965652273,0.7544482947801927,0.005150835142414577,0.11396036774305204,0.6311713774828175
15742,0.8932760692260683,0.5043002301342288,0.9130124948008308,0.9520917092368297,0.4170600405546133,0.6703332470387162,0.5693208463782401,0.9524647599479975,0.9209274409796344,0.26483704235139666,0.7546347544532009,0.3411229103044986,0.6305215998870018,0.5616429192387773
18973,0.9464287243139872,0.6712908056535205,0.004916269251064214,0.24284079939461045,0.44797688715110795,0.9451119940833459,0.855315399643046,0.6240522449686403,0.9107135742732142,0.1892165661852946,0.7137854211325096,0.3869830511986444,0.5276902624130554,0.9280274762576451
3971,0.9879796780108018,0.09265216240813536,0.3394976221887136,0.7632808751077778,0.45725702409293456,0.5719469715497933,0.6385787205767992,0.604241136172618,0.9742722219048245,0.9174241599880051,0.773465004148809,0.7721183122372567,0.6082498754152075,0.9875648955472343
13756,0.58357687722849,0.8930447995079478,0.032652469356373455,0.6428043954489889,0.34280526217167706,0.3285680025647345,0.9336663539351302,0.946519172018735,0.9517408730896104,0.19591078239894844,0.10914331154335075,0.14055650257192515,0.540669345454057,0.20612350690472148
12029,0.8956984413877755,0.9013796970749407,0.17433078559976484,0.031866507105456285,0.565219203236417,0.5205276063387029,0.33940864119453173,0.30996543252838576,0.8067363572517524,0.2919528366271661,0.020682697201027844,0.8242781463567728,0.006774672303756871,0.028756686667497307
