sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,temperature
0.5721682519097472,0.2297474863237862,0.25954812202411676,0.12725584737563547,0.4221957985002436,0.4148183553547722,0.3213641002960122,0.1536850669773103,0.12450896139863009,0.09934566401612381,0.13114919671990305,0.12061799439774631,-0.044067061569221196
-0.025807976589329224,-0.01036288888929074,-0.011707063504396108,-0.005739947129064941,-0.019043377786130477,-0.048226728784838836,-0.20472333717291596,-0.006932050948062911,-0.005616047557091252,-0.004481041481847935,-0.005915563492808827,0.9768916796125082,0.0021032162106519826
-0.3633304255567213,-0.14589109616665136,-0.16481468805899455,-0.08080826177224326,-0.2680969836012824,0.5977193920280127,0.5825009018109794,-0.09759098290300726,-0.0790639703658878,-0.06308511641526597,-0.08328055094942688,0.13075732813934368,0.027806406180613724
0.03129509766464331,0.012566179569151972,0.01419614366859722,0.006960334579715638,0.023092258328291575,-0.6843474478072475,0.717987490079834,0.0084058987867244,0.006810094009774049,0.005433776508267339,0.007173293236743622,0.11847558546790357,-0.0027442093110112316
0.0355034171214333,0.014260355595680552,0.016106146503867866,0.007900424885607122,0.02619927232866562,-0.00011732367511610335,0.0003656992962544052,0.009537198895668751,0.007730372038932786,0.006160326916104673,0.008134067858411862,-5.01718611539038e-05,0.9986355409114713
0.2866430739246274,-0.20632602945553502,-0.22302879397932698,-0.10076841152573088,-0.3571725932992578,-3.210796806820138e-09,-1.2618436879585134e-08,-0.13250600626181208,0.008995623752870802,0.20253399762002322,0.7931822977470278,3.214520210723422e-09,6.114361383365946e-06
-0.2730723764450663,-0.003528486592917052,0.0684376941873063,-0.21914619090628884,0.17475055585105959,1.2163544125868486e-09,-6.27446774036446e-10,0.0388945917417625,0.035316784487908856,0.9142608250638303,-0.05949435658479779,-3.3482093878766583e-09,3.89658862170702e-06
-0.6022998143561444,0.1769747669444311,0.2291165671116994,0.014833124265733817,0.351025499285334,-4.373183833989791e-10,-1.8593971622988581e-09,0.1319733542808685,0.184835059859772,-0.23568157135214557,0.5682031087312701,-1.1540177283842196e-09,-1.436179816880134e-06
-0.06349456113604862,0.6924116391348737,-0.5091033386978915,0.25616905841756055,0.04112871360228945,-2.1490559659166043e-10,-9.358537880709126e-10,-0.06234069164646495,-0.41222897698026684,0.09913554289735808,0.07992026330364511,-5.221739938007815e-10,-1.002750594622063e-06
-0.0189896283968722,0.3251583225089285,-0.19228900908048355,0.1442238194554132,-0.2727436178093852,-5.885336845922112e-10,-1.8118685533466045e-09,-0.10168440420618934,0.8577640245275774,0.0607548209746259,-0.10934723141123469,5.656088207783657e-10,-5.276389020669003e-06
-0.11723839484369149,-0.23594950612308307,0.22062530966412444,0.8921605992845412,-0.1834941502671203,-9.212080035888001e-10,9.052162628821551e-11,0.08013770683982006,-0.07183325239751522,0.19827302010087727,0.03731709076430004,2.2121577532304033e-10,-1.330321863501438e-06
0.0043730086001172695,0.45621993467966043,0.6210912519801486,-0.18053427762148638,-0.5769259658216929,3.9885757937960113e-10,-2.044639003032509e-10,0.09428207814890183,-0.1749710345531838,0.02760322155858557,0.01969259357469402,-1.7642543387860746e-10,1.456856589908405e-08
0.007388860570402281,-0.05088874906816596,-0.2595415031856377,-0.061372306031557106,-0.1561062648554257,-3.217269439588542e-11,1.2279624356765038e-10,0.949011269797659,0.033908773404198664,-0.005598200562889291,-0.007395082207333179,-2.926155870985866e-11,-8.476589000655281e-08
