,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,temperature,liq_density
0,0.20032362275954335,0.2995896503997298,0.0,0.39089961930759604,0.617476861422446,0.02109091648120175,0.0,0.8049943811691779,200.0,457.7067899768803
1,0.20032362275954335,0.2995896503997298,0.0,0.39089961930759604,0.617476861422446,0.02109091648120175,0.0,0.8049943811691779,250.0,
2,0.20032362275954335,0.2995896503997298,0.0,0.39089961930759604,0.617476861422446,0.02109091648120175,0.0,0.8049943811691779,300.0,
3,0.20032362275954335,0.2995896503997298,0.0,0.39089961930759604,0.617476861422446,0.02109091648120175,0.0,0.8049943811691779,350.0,1.812600895148761
4,0.20032362275954335,0.2995896503997298,0.0,0.39089961930759604,0.617476861422446,0.02109091648120175,0.0,0.8049943811691779,400.0,7.566248102123287
5,0.20111233224506964,0.17152599615339542,0.0,0.2611418444748868,0.2701413015654582,0.02665200806564805,0.0,1.0980007219602295,200.0,1563.3163434821383
6,0.20111233224506964,0.17152599615339542,0.0,0.2611418444748868,0.2701413015654582,0.02665200806564805,0.0,1.0980007219602295,250.0,1475.2487272669057
7,0.20111233224506964,0.17152599615339542,0.0,0.2611418444748868,0.2701413015654582,0.02665200806564805,0.0,1.0980007219602295,300.0,
8,0.20111233224506964,0.17152599615339542,0.0,0.2611418444748868,0.2701413015654582,0.02665200806564805,0.0,1.0980007219602295,350.0,
9,0.20111233224506964,0.17152599615339542,0.0,0.2611418444748868,0.2701413015654582,0.02665200806564805,0.0,1.0980007219602295,400.0,
10,0.20279218233287657,0.1826201429878589,0.0,0.3950850440972611,0.24246491600555387,0.06707597524032313,0.0,1.2282547574639955,200.0,724.8503441396879
11,0.20279218233287657,0.1826201429878589,0.0,0.3950850440972611,0.24246491600555387,0.06707597524032313,0.0,1.2282547574639955,250.0,656.0967219313446
12,0.20279218233287657,0.1826201429878589,0.0,0.3950850440972611,0.24246491600555387,0.06707597524032313,0.0,1.2282547574639955,300.0,574.909435835041
13,0.20279218233287657,0.1826201429878589,0.0,0.3950850440972611,0.24246491600555387,0.06707597524032313,0.0,1.2282547574639955,350.0,426.0931934599207
14,0.20279218233287657,0.1826201429878589,0.0,0.3950850440972611,0.24246491600555387,0.06707597524032313,0.0,1.2282547574639955,400.0,7.826883641875586
15,0.20356518658762338,0.2963370581514584,0.0,0.26328911844680347,0.22880183830218917,0.05596387153150882,0.0,0.7800240719645929,200.0,
16,0.20356518658762338,0.2963370581514584,0.0,0.26328911844680347,0.22880183830218917,0.05596387153150882,0.0,0.7800240719645929,250.0,
17,0.20356518658762338,0.2963370581514584,0.0,0.26328911844680347,0.22880183830218917,0.05596387153150882,0.0,0.7800240719645929,300.0,
18,0.20356518658762338,0.2963370581514584,0.0,0.26328911844680347,0.22880183830218917,0.05596387153150882,0.0,0.7800240719645929,350.0,
19,0.20356518658762338,0.2963370581514584,0.0,0.26328911844680347,0.22880183830218917,0.05596387153150882,0.0,0.7800240719645929,400.0,
20,0.20468125241128587,0.2112935406990641,0.0,0.36301372661177556,0.5685601977763335,0.033992607752635975,0.0,0.9709839444316518,200.0,809.9793097653517
21,0.20468125241128587,0.2112935406990641,0.0,0.36301372661177556,0.5685601977763335,0.033992607752635975,0.0,0.9709839444316518,250.0,721.8703225740953
22,0.20468125241128587,0.2112935406990641,0.0,0.36301372661177556,0.5685601977763335,0.033992607752635975,0.0,0.9709839444316518,300.0,610.5284603443779
23,0.20468125241128587,0.2112935406990641,0.0,0.36301372661177556,0.5685601977763335,0.033992607752635975,0.0,0.9709839444316518,350.0,1.8248596760045523
24,0.20468125241128587,0.2112935406990641,0.0,0.36301372661177556,0.5685601977763335,0.033992607752635975,0.0,0.9709839444316518,400.0,7.748538639010643
25,0.20591611961541006,0.2665031177785231,0.0,0.29438279567631787,0.14138518482455592,0.02885944545399261,0.0,1.2207788127059958,200.0,717.5102502700092
26,0.20591611961541006,0.2665031177785231,0.0,0.29438279567631787,0.14138518482455592,0.02885944545399261,0.0,1.2207788127059958,250.0,588.8493648927148
27,0.20591611961541006,0.2665031177785231,0.0,0.29438279567631787,0.14138518482455592,0.02885944545399261,0.0,1.2207788127059958,300.0,440.79964864640084
28,0.20591611961541006,0.2665031177785231,0.0,0.29438279567631787,0.14138518482455592,0.02885944545399261,0.0,1.2207788127059958,350.0,2.224128470331228
29,0.20591611961541006,0.2665031177785231,0.0,0.29438279567631787,0.14138518482455592,0.02885944545399261,0.0,1.2207788127059958,400.0,9.782513778241144
30,0.2069184685396974,0.28218545089772473,0.0,0.3197003061271095,0.2991110908795756,0.03799270830467086,0.0,0.9224899700704332,200.0,619.8716887756616
31,0.2069184685396974,0.28218545089772473,0.0,0.3197003061271095,0.2991110908795756,0.03799270830467086,0.0,0.9224899700704332,250.0,521.4332421694409
32,0.2069184685396974,0.28218545089772473,0.0,0.3197003061271095,0.2991110908795756,0.03799270830467086,0.0,0.9224899700704332,300.0,
33,0.2069184685396974,0.28218545089772473,0.0,0.3197003061271095,0.2991110908795756,0.03799270830467086,0.0,0.9224899700704332,350.0,1.842593636859755
34,0.2069184685396974,0.28218545089772473,0.0,0.3197003061271095,0.2991110908795756,0.03799270830467086,0.0,0.9224899700704332,400.0,7.964558354476508
35,0.20707359868776087,0.2472736146501895,0.0,0.20797776311547223,0.09477292666461493,0.04009447486861814,0.0,1.2152615704870593,200.0,
36,0.20707359868776087,0.2472736146501895,0.0,0.20797776311547223,0.09477292666461493,0.04009447486861814,0.0,1.2152615704870593,250.0,
37,0.20707359868776087,0.2472736146501895,0.0,0.20797776311547223,0.09477292666461493,0.04009447486861814,0.0,1.2152615704870593,300.0,
38,0.20707359868776087,0.2472736146501895,0.0,0.20797776311547223,0.09477292666461493,0.04009447486861814,0.0,1.2152615704870593,350.0,
39,0.20707359868776087,0.2472736146501895,0.0,0.20797776311547223,0.09477292666461493,0.04009447486861814,0.0,1.2152615704870593,400.0,
40,0.2084067716068143,0.23608335233607955,0.0,0.2511213091152523,0.23393322352419532,0.07567680743772008,0.0,1.1451904209711616,200.0,
41,0.2084067716068143,0.23608335233607955,0.0,0.2511213091152523,0.23393322352419532,0.07567680743772008,0.0,1.1451904209711616,250.0,
42,0.2084067716068143,0.23608335233607955,0.0,0.2511213091152523,0.23393322352419532,0.07567680743772008,0.0,1.1451904209711616,300.0,
43,0.2084067716068143,0.23608335233607955,0.0,0.2511213091152523,0.23393322352419532,0.07567680743772008,0.0,1.1451904209711616,350.0,
44,0.2084067716068143,0.23608335233607955,0.0,0.2511213091152523,0.23393322352419532,0.07567680743772008,0.0,1.1451904209711616,400.0,
45,0.20982059397243283,0.25924045392066564,0.0,0.39142666728238884,0.48215131866222044,0.04780099871190928,0.0,0.778094977184574,200.0,556.7241218990919
46,0.20982059397243283,0.25924045392066564,0.0,0.39142666728238884,0.48215131866222044,0.04780099871190928,0.0,0.778094977184574,250.0,449.6698651838093
47,0.20982059397243283,0.25924045392066564,0.0,0.39142666728238884,0.48215131866222044,0.04780099871190928,0.0,0.778094977184574,300.0,
48,0.20982059397243283,0.25924045392066564,0.0,0.39142666728238884,0.48215131866222044,0.04780099871190928,0.0,0.778094977184574,350.0,1.7932248965876907
49,0.20982059397243283,0.25924045392066564,0.0,0.39142666728238884,0.48215131866222044,0.04780099871190928,0.0,0.778094977184574,400.0,7.562936922017692
50,0.2100720034217099,0.21654118657659033,0.0,0.2823195378198934,0.170010919244798,0.02780247940590802,0.0,1.3413712404093165,200.0,1067.1870305588702
51,0.2100720034217099,0.21654118657659033,0.0,0.2823195378198934,0.170010919244798,0.02780247940590802,0.0,1.3413712404093165,250.0,967.9344800653957
52,0.2100720034217099,0.21654118657659033,0.0,0.2823195378198934,0.170010919244798,0.02780247940590802,0.0,1.3413712404093165,300.0,854.3587706030869
53,0.2100720034217099,0.21654118657659033,0.0,0.2823195378198934,0.170010919244798,0.02780247940590802,0.0,1.3413712404093165,350.0,724.2533601549615
54,0.2100720034217099,0.21654118657659033,0.0,0.2823195378198934,0.170010919244798,0.02780247940590802,0.0,1.3413712404093165,400.0,587.2050101224158
55,0.21113344230311373,0.2352652761280373,0.0,0.26480197891824053,0.5548940762909578,0.059588736193433176,0.0,0.8684237289782643,200.0,1130.2084998032037
56,0.21113344230311373,0.2352652761280373,0.0,0.26480197891824053,0.5548940762909578,0.059588736193433176,0.0,0.8684237289782643,250.0,
57,0.21113344230311373,0.2352652761280373,0.0,0.26480197891824053,0.5548940762909578,0.059588736193433176,0.0,0.8684237289782643,300.0,
58,0.21113344230311373,0.2352652761280373,0.0,0.26480197891824053,0.5548940762909578,0.059588736193433176,0.0,0.8684237289782643,350.0,
59,0.21113344230311373,0.2352652761280373,0.0,0.26480197891824053,0.5548940762909578,0.059588736193433176,0.0,0.8684237289782643,400.0,
60,0.21252565197484635,0.28348869541610217,0.0,0.39983707755008646,0.45531962682492444,0.06858019786904727,0.0,1.201594235209388,200.0,541.4484466467319
61,0.21252565197484635,0.28348869541610217,0.0,0.39983707755008646,0.45531962682492444,0.06858019786904727,0.0,1.201594235209388,250.0,477.545325937008
62,0.21252565197484635,0.28348869541610217,0.0,0.39983707755008646,0.45531962682492444,0.06858019786904727,0.0,1.201594235209388,300.0,393.1544014108224
63,0.21252565197484635,0.28348869541610217,0.0,0.39983707755008646,0.45531962682492444,0.06858019786904727,0.0,1.201594235209388,350.0,1.88211029818038
64,0.21252565197484635,0.28348869541610217,0.0,0.39983707755008646,0.45531962682492444,0.06858019786904727,0.0,1.201594235209388,400.0,7.78405047378174
65,0.2139942933260435,0.2533274898721819,0.0,0.3711451238805688,0.3651758736544423,0.08063067734616107,0.0,0.764280646110084,200.0,627.5733607679975
66,0.2139942933260435,0.2533274898721819,0.0,0.3711451238805688,0.3651758736544423,0.08063067734616107,0.0,0.764280646110084,250.0,533.6309347354808
