,sigma_C1,sigma_H1,sigma_H2,sigma_O1,epsilon_C1,epsilon_H1,epsilon_H2,epsilon_O1,mse_sim_surf_tens
9312,0.9621980985034925,0.33971994874258526,0.4012410124923867,0.39856029681738686,0.8666784081367693,0.08387478657053864,0.23111242471125024,0.6239390903481329,0.3632761738195942
8724,0.9475636047511139,0.4550526166803955,0.3064678785002032,0.3959409585082621,0.6005525960834415,0.4273749187086085,0.12340677748908788,0.8835931377441393,0.5184965384280493
3949,0.9422675717448594,0.36380519994735006,0.4833165364355379,0.39649469006510124,0.9197226479602391,0.016547651071336177,0.036404400600027316,0.7051847869480777,0.5714892946528971
4,0.9418045976104954,0.12294714312304424,0.1265428166961532,0.4520807145135658,0.8962210764101762,0.27925472893360076,0.39006714639654405,0.41116178130827324,1.136514719829394
1906,0.9344812083088933,0.3272212360181974,0.23088079484903096,0.4095055133503683,0.8917426707768159,0.039661807843104094,0.545300362746375,0.5597851592097078,0.71169451928204
1,0.8775851683560828,0.5488393705019319,0.3132855393583463,0.4951463373042084,0.7147741604368024,0.9915268347045015,0.4363271591175473,0.3208449226504714,44.390648200564144
2,0.8971417895382507,0.3373324785942143,0.6059161799791501,0.47904314779586604,0.9348003973852839,0.03902767573715292,0.05221233305118779,0.8895890453284678,18.695037768190307
175,0.9473668626088105,0.22918517364787352,0.022818352175100164,0.3800110854912767,0.8641148219073365,0.05985543376562095,0.7569784339354358,0.9684421366717916,1.0401236786449917
