Run,Iter,Min Obj,sigma_C3_min,sigma_Ho_min,sigma_H1_min,sigma_Oh_min,epsilon_C3_min,epsilon_Ho_min,epsilon_H1_min,epsilon_Oh_min,Min Obj Cum.,sigma_C3_cum,sigma_Ho_cum,sigma_H1_cum,sigma_Oh_cum,epsilon_C3_cum,epsilon_Ho_cum,epsilon_H1_cum,epsilon_Oh_cum,EG-sim_liq_density-sse,EG-sim_surf_tens-sse,Gly-sim_liq_density-sse,Gly-sim_surf_tens-sse,MeOH-sim_liq_density-sse,MeOH-sim_surf_tens-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,57,1018.7633031718592,2.898672681723326,0.0,1.5,3.367864008313992,75.00000000000001,0.0,8.382316574486055,75.00000000000001,1018.7633031718592,2.898672681723326,0.0,1.5,3.367864008313992,75.00000000000001,0.0,8.382316574486055,75.00000000000001,0.3417225822287361,43.25508557965521,0.2407429128255841,125.5436599717872,9.717178370197532,310.3362683199378,58.88002300262451,60.0,420.0,,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
6,45,1018.7633034560702,2.8986629292483013,0.0,1.5,3.367865622546308,75.00000000000001,0.0,8.382403866926218,75.00000000000001,1018.7633034560702,2.8986629292483013,0.0,1.5,3.367865622546308,75.00000000000001,0.0,8.382403866926218,75.00000000000001,0.3417168437256238,43.25938082662776,0.2407397074686141,125.5387105538608,9.717465243240987,310.3403534350027,55.65805339813232,56.0,392.0,,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,51,1018.7633275800926,2.898669751364364,0.0,1.5,3.367872043790714,75.00000000000001,0.0,8.382381023597768,75.00000000000001,1018.7633275800926,2.898669751364364,0.0,1.5,3.367872043790714,75.00000000000001,0.0,8.382381023597768,75.00000000000001,0.3416960531206918,43.24175812327296,0.2407322779442909,125.5957605114829,9.71698307744749,310.33085633481573,58.12073731422424,60.0,420.0,,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,52,1351.8274244534557,2.69669856543865,0.0,1.5,3.5274775102399047,62.12692124711094,0.0,8.04419198564625,75.00000000000001,1351.8273629620232,2.6963375697661807,0.0,1.5,3.527487781590727,62.16889465005565,0.0,8.043564646898213,75.00000000000001,0.6275391057422903,9.01484098312621,0.1816701790259505,92.41918354475244,8.312476260888733,401.3293564912758,55.95800471305847,57.0,399.0,,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,39,1351.8297395227692,2.697611821693164,0.0,1.5,3.5274716469755845,62.005927767190265,0.0,8.043760750629655,75.00000000000001,1351.8297348284827,2.6976110851392483,0.0,1.5,3.5274716743822347,62.00603785007582,0.0,8.043760044239564,75.00000000000001,0.6296704608570759,9.010096387424976,0.1814898192324497,92.20846147930534,8.259269082160557,401.94176425440753,51.36682891845703,52.0,364.0,,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
5,53,1548.179021169974,2.61195234185049,0.0,1.5,3.227118167903625,75.00000000000001,0.0,9.152482155993978,135.0,1548.179021169974,2.61195234185049,0.0,1.5,3.227118167903625,75.00000000000001,0.0,9.152482155993978,135.0,0.7894918425424391,193.3929277374845,0.1397765074217312,164.90133561252958,38.52544637083513,401.8928845085724,67.50307011604309,68.0,476.0,,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
