Rank,\rho_l - LD Data,q_j (rho_l),\gamma - ST Data,q_j (gamma)
1,sigma_H1,2026.7197915771908,sigma_H1,211.84550860019826
2,sigma_O1,1496.449854710235,sigma_C1,189.04079817653195
3,sigma_C1,1276.982508098924,sigma_S1,147.66145653700306
4,sigma_S1,845.3645091431113,epsilon_C1,105.02418090270355
5,epsilon_C1,701.4759618304164,epsilon_S1,77.5337203679265
6,epsilon_S1,229.22498285455646,epsilon_H1,48.28399377021852
7,epsilon_H1,204.3969173067806,epsilon_O1,31.483811927759774
8,epsilon_O1,191.4721511388126,sigma_O1,1.0245250735648438e-05
