,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2,temperature,liq_density
0,0.20033680572832013,0.385599471802192,0.17960400207168004,0.1804996871878158,0.0,0.0,0.3138678283656906,0.32975905879493644,0.34566597376150576,0.600893109496781,0.02959581335240627,0.06727622085665284,0.0,0.0,0.8918028543156034,1.0083531215679582,293.15,1395.7372888247046
1,0.20033680572832013,0.385599471802192,0.17960400207168004,0.1804996871878158,0.0,0.0,0.3138678283656906,0.32975905879493644,0.34566597376150576,0.600893109496781,0.02959581335240627,0.06727622085665284,0.0,0.0,0.8918028543156034,1.0083531215679582,303.15,1392.4072488680308
2,0.20033680572832013,0.385599471802192,0.17960400207168004,0.1804996871878158,0.0,0.0,0.3138678283656906,0.32975905879493644,0.34566597376150576,0.600893109496781,0.02959581335240627,0.06727622085665284,0.0,0.0,0.8918028543156034,1.0083531215679582,313.15,1384.856531557299
3,0.20033680572832013,0.385599471802192,0.17960400207168004,0.1804996871878158,0.0,0.0,0.3138678283656906,0.32975905879493644,0.34566597376150576,0.600893109496781,0.02959581335240627,0.06727622085665284,0.0,0.0,0.8918028543156034,1.0083531215679582,323.15,1373.6649289014863
4,0.20033680572832013,0.385599471802192,0.17960400207168004,0.1804996871878158,0.0,0.0,0.3138678283656906,0.32975905879493644,0.34566597376150576,0.600893109496781,0.02959581335240627,0.06727622085665284,0.0,0.0,0.8918028543156034,1.0083531215679582,333.15,1366.7179425593044
5,0.2004294614152904,0.28371497096721615,0.18572288183966146,0.26767405308379294,0.0,0.0,0.2932788739573029,0.3444169093152134,0.14060267671612398,0.5898532117534407,0.026195314127645183,0.08011029666869393,0.0,0.0,1.1165556787693176,0.801993035480139,293.15,1377.671651554222
6,0.2004294614152904,0.28371497096721615,0.18572288183966146,0.26767405308379294,0.0,0.0,0.2932788739573029,0.3444169093152134,0.14060267671612398,0.5898532117534407,0.026195314127645183,0.08011029666869393,0.0,0.0,1.1165556787693176,0.801993035480139,303.15,1375.5232905861094
7,0.2004294614152904,0.28371497096721615,0.18572288183966146,0.26767405308379294,0.0,0.0,0.2932788739573029,0.3444169093152134,0.14060267671612398,0.5898532117534407,0.026195314127645183,0.08011029666869393,0.0,0.0,1.1165556787693176,0.801993035480139,313.15,1378.062089519661
8,0.2004294614152904,0.28371497096721615,0.18572288183966146,0.26767405308379294,0.0,0.0,0.2932788739573029,0.3444169093152134,0.14060267671612398,0.5898532117534407,0.026195314127645183,0.08011029666869393,0.0,0.0,1.1165556787693176,0.801993035480139,323.15,1369.9374592448178
9,0.2004294614152904,0.28371497096721615,0.18572288183966146,0.26767405308379294,0.0,0.0,0.2932788739573029,0.3444169093152134,0.14060267671612398,0.5898532117534407,0.026195314127645183,0.08011029666869393,0.0,0.0,1.1165556787693176,0.801993035480139,333.15,1365.717035402636
10,0.20085174905724296,0.343074187897348,0.17885719929342273,0.2786950768507416,0.0,0.0,0.30320661443838265,0.35391980037608334,0.45198264285164413,0.09081865973691004,0.08283283170966733,0.025493622701293746,0.0,0.0,0.6599106617811628,1.0212457150352139,293.15,1296.8184991140263
11,0.20085174905724296,0.343074187897348,0.17885719929342273,0.2786950768507416,0.0,0.0,0.30320661443838265,0.35391980037608334,0.45198264285164413,0.09081865973691004,0.08283283170966733,0.025493622701293746,0.0,0.0,0.6599106617811628,1.0212457150352139,303.15,1291.8657391047486
12,0.20085174905724296,0.343074187897348,0.17885719929342273,0.2786950768507416,0.0,0.0,0.30320661443838265,0.35391980037608334,0.45198264285164413,0.09081865973691004,0.08283283170966733,0.025493622701293746,0.0,0.0,0.6599106617811628,1.0212457150352139,313.15,1299.083631830471
