Run,Iter,Min Obj,sigma_C1_min,sigma_H1_min,sigma_H2_min,sigma_O1_min,epsilon_C1_min,epsilon_H1_min,epsilon_H2_min,epsilon_O1_min,Min Obj Cum.,sigma_C1_cum,sigma_H1_cum,sigma_H2_cum,sigma_O1_cum,epsilon_C1_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_O1_cum,EG-sim_liq_density-sse,EG-sim_surf_tens-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,31,825.3200772411922,3.7687694166854193,1.8006264557308185,0.0,3.150794032909018,31.586643689249563,6.659020456741846,0.0,97.29535691081468,825.3200770513173,3.7687693584816806,1.8006265046689882,0.0,3.150794054999308,31.58664337202449,6.659020582815846,0.0,97.29535710984494,11.868899384191844,140.2395624351761,39.68140387535095,44.0,396.0,27.98969713118394,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
2,111,975.3080991735568,3.302101634690983,2.473865882848801,0.0,3.164518629208662,62.77380582238517,2.6871804479762096,0.0,75.00000000000001,975.3080785507568,3.3021065441183257,2.47386355264602,0.0,3.164522627677867,62.773716073003584,2.687198013803436,0.0,75.00000000000001,29.818995163109324,140.8512423732381,157.93972873687744,169.0,1521.0,218.6811798310373,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
3,111,975.3080991735568,3.302101634690983,2.473865882848801,0.0,3.164518629208662,62.77380582238517,2.6871804479762096,0.0,75.00000000000001,975.3080785507568,3.3021065441183257,2.47386355264602,0.0,3.164522627677867,62.773716073003584,2.687198013803436,0.0,75.00000000000001,29.818995163109324,140.8512423732381,145.1656093597412,169.0,1521.0,218.6811798310373,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
4,108,1160.375795845731,3.2290506213350296,2.681270459908129,0.0,3.0399457188278167,50.6831866954621,6.17870481161495,0.0,122.20614309502656,1160.3757039561406,3.2290484940226998,2.6812712932549627,0.0,3.039945693011634,50.68346396838392,6.1786778530776445,0.0,122.20596885849932,32.13398550483802,137.47306515764757,132.94774174690247,142.0,1278.0,120.60126121325162,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH
