,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_O1,sigma_N1,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_N1,temperature,liq_density
0,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,1.1649527874173278,0.8071013645658021,308.15,724.908305110573
1,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,1.1649527874173278,0.8071013645658021,313.15,719.5856860868934
2,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,1.1649527874173278,0.8071013645658021,318.15,713.0977132828509
3,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,1.1649527874173278,0.8071013645658021,323.15,706.2243158888788
4,0.20087512561762857,0.37711522054209945,0.2651443859716254,0.2521465425672705,0.39593341925522585,0.26140518686341974,0.586117812223379,0.5617932704033068,0.03624915179805112,0.05536709425043043,1.1649527874173278,0.8071013645658021,328.15,699.3843420395514
5,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,1.1258931138313644,0.5449592586421985,308.15,801.0725196249625
6,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,1.1258931138313644,0.5449592586421985,313.15,786.7271031284752
7,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,1.1258931138313644,0.5449592586421985,318.15,769.3694157102784
8,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,1.1258931138313644,0.5449592586421985,323.15,753.5837335231923
9,0.2016273453866231,0.2969973166934059,0.24837528357583316,0.1640429361950833,0.2319207189126814,0.24668440885646398,0.6200091907233979,0.216298277194833,0.0728327904787364,0.051805746245932996,1.1258931138313644,0.5449592586421985,328.15,730.085252300447
