sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2,temperature
-0.04248166571723839,9.151980293446249e-11,9.22147642996371e-12,0.9980820283741477,-2.7326119124613174e-10,-1.701864608410212e-09,1.5335468012394112e-09,-0.01646547641561909,-0.00010395730367210854,0.013026070019186436,-0.007257863541976951,0.019343414879663904,0.009687131207685842,0.01803054100523768,0.02722106337378773
0.01264048376164568,-1.6106492359019476e-09,-3.18107996150529e-09,-0.04441622500400539,1.050213097608979e-09,1.1657311137050956e-08,-9.002622256292185e-09,-0.38395821327290863,-0.002424175321913949,0.3037547572144465,-0.16924602485289156,0.4510688108662455,0.22589404449908482,0.4204539276642065,0.5461261436127512
0.9989933747183941,-3.019518463729052e-09,-3.783261578429977e-09,0.04302487840416928,2.477604340072212e-09,3.420881097256055e-08,-2.4114747131885396e-08,0.002421405632442869,1.5291577207734734e-05,-0.0019156025264107153,0.0010673434444337447,-0.0028446370396143783,-0.00142460871238559,-0.0026515628589829157,-0.011544377742297865
-0.0069111154608006604,-3.934551616833193e-09,-4.177053564739352e-09,0.0028850357445363325,4.337634527742838e-09,-9.699670414037985e-08,6.661709092814948e-08,-0.2510398628795117,-0.001584963383890768,0.19860113334040322,-0.11065649134055788,0.29491813977336234,0.14769424533657807,0.2749015157497772,-0.8371809698709064
-4.7822947875605126e-08,-0.11449468071716853,-0.1133662190341911,1.348107130954454e-09,0.02423957398516044,0.8436522566142655,-0.2832198331827652,-0.02480791552150095,0.04791038757075579,0.18552094294279703,0.06723115964685815,0.01033137873018174,-0.36903612583835665,0.057841342966415264,-9.89028562109592e-08
1.1875251001724833e-08,-0.3607735972500154,-0.11801989732792814,-8.468254308998445e-10,-0.08056190109448451,0.1747944999055878,0.808442050256027,0.2314492901089376,-0.005391170645893571,0.19589748620355493,0.2418127101639886,0.10607613261211163,0.05501921496566951,0.023780647565760142,4.1860613567002564e-08
5.2494267858274935e-09,0.3414247857917743,-0.23815443215902363,1.5903764756386566e-11,-0.015226223553603731,0.342793281703846,0.13720967533621733,-0.35333004898652653,-0.11156097094578277,-0.09304667973112593,0.02996392256685049,-0.01884077220927186,0.5321231106146389,-0.5096984801348544,-6.033892154071598e-09
1.4278868220274097e-10,0.33213294188787695,0.3801163986952444,-5.259107771270297e-10,-0.06869746293960544,0.14803907148847664,0.03454079874288264,-0.0001409712377217793,-0.38718282599789255,-0.22182768442913806,0.5758711541122206,-0.0711800546448889,0.09388516620349059,0.41562550995567193,3.102518778422089e-08
3.6371100792700793e-09,-0.04908462142063763,0.4466957130909978,6.247672579661666e-10,-0.08907066703145283,0.22301457231470959,0.06556102548433348,0.23109963527946156,-0.2726042913711067,0.2196370946861867,-0.5777995047113728,-0.37441305121371626,0.28581240365200156,0.06632935613872588,-5.1631600044110134e-08
-1.443064156048377e-10,-0.34855601314964474,-0.16421954521841234,9.702823612129797e-11,-0.050854016219970224,0.03738227075063566,-0.42474985886546,0.4996533152800162,-0.1952075950138404,-0.11785399553646263,0.13195305669956928,0.34564695716644556,0.47694882051925797,-0.0336456308646479,-1.611723464809261e-08
-1.869264149335536e-09,-0.15754989895081686,-0.1152210594518464,3.8184142409240064e-11,0.16495797310318655,-0.1742623717591824,-0.2153466748770041,-0.12189002265343121,0.07154452638803803,0.6010817672595105,0.4033979321419308,-0.5032366916188132,0.24504932863421125,0.02545817344353951,2.52053178273382e-08
-3.293227245739898e-10,-0.33383337709309296,0.6002574156913537,-1.2162364480559916e-10,-0.1974712068849467,0.09470187537480645,-0.06497656945085192,-0.22191499544370177,0.5464496628000719,-0.15362688934318894,0.174434859533142,0.06582006962573989,0.18528369054980476,-0.18845812756275737,1.2326417209803089e-08
-2.0666554808271977e-09,0.2264193921442796,0.34547693736097557,1.9658286899515518e-10,-0.08689714104182629,-0.11947256378989407,-0.05636597553088346,0.1321881022383307,-0.24206913773608632,0.506908850743285,0.13804961064279989,0.3962134532718697,-0.23777775644370497,-0.488640167203006,-1.769484784072582e-08
3.2439351756149153e-10,0.5601054230004616,-0.02893711797693597,-1.8012426748644843e-11,0.04368284384710533,0.09504166498721983,0.033548457970887596,0.47414244258985855,0.6002586073285647,0.16001061995239826,0.0019510388532626571,0.05877577203015762,0.18311660121437243,0.16019679385373914,-5.00079768327841e-09
1.0720585793471914e-10,-0.06854990501537701,0.22744613933446772,1.1754211119425776e-10,0.949624143937573,0.06707896406504452,0.08111077505082823,0.028338713316342162,-0.01605982902094072,-0.08870020612305966,-0.007448458027479848,0.12133180810571798,0.0475408985739968,-0.06883932492684262,2.5712421974302797e-09
