,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1,mapd_liq_density,mapd_surf_tens
3,0.22221074267481639,0.21971042821126957,0.3224124736691082,0.44128163432748635,0.616513646084583,0.08209039637106132,0.8217614298792039,0.9818982830087406,0.0840179329141888,2.3058134856378603
14,0.3236171786441676,0.2726635175948803,0.20195228639781918,0.39601564486985685,0.5882624119294151,0.05820651496640826,0.6364717008406953,0.974865853469156,0.5249669417312175,1.6859780174856458
