split,kernel_liq_density,mse_liq_density,mapd_liq_density
0,Matern32,47.96396484417911,0.5860903413023747
1,Matern32,22.530401638818603,0.43834771910969217
2,Matern32,15.362278710506654,0.29903517483236997
3,Matern32,2.561394286310866,0.12742097003557798
4,Matern32,15.106138460051449,0.358928565504056
5,Matern32,13.925474731708624,0.29974097828432167
6,Matern32,169.66565642712143,1.1095818739578271
7,Matern32,1.4134774118586553,0.09264954682074991
8,Matern32,27.871747674612585,0.4647436282389449
9,Matern32,15.897668503407308,0.3044755170092128
10,Matern32,18.159063188481777,0.39330344812389256
11,Matern32,14.637467391104707,0.34710256188388705
12,Matern32,103.67728988337956,0.9435780029491571
13,Matern32,524.9025640133816,2.1587466980651415
14,Matern32,4.094048051344301,0.18911195284006507
15,Matern32,4.583848628507269,0.16458226146475102
16,Matern32,54.34718474039242,0.6880228382745033
17,Matern32,85.63220898375094,0.8615508641240787
18,Matern32,29.232681999143995,0.5053133128729409
19,Matern32,96.97999801373588,0.9136492675584862
20,Matern32,11.140713158779416,0.2954554572850877
21,Matern32,18.34611814111812,0.3917710104088368
22,Matern32,13.064233080462975,0.2941271533639136
23,Matern32,767.1395100994084,2.613219813444223
24,Matern32,229.93737106700578,1.4008521399244471
