split,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,Matern32,0.03176623623658848,0.7431626938840206
1,Matern32,0.0048050494221992856,0.30101097893681916
2,Matern32,0.07758934864831246,1.2602956169980868
3,Matern32,0.0014170321088491208,0.17479046792037667
4,Matern32,0.13114036518287223,1.716905190643157
5,Matern32,5.388057314028809e-06,0.005719415172885622
6,Matern32,2.7995099088188042,4.346718357483193
7,Matern32,0.0654374510151203,0.6582118389773035
8,Matern32,2.179213855663778,3.7383678941285305
9,Matern32,0.20266117564887318,1.187635167545406
10,Matern32,3.1207697875966884,5.185849673657611
11,Matern32,0.3235635357932913,1.808171853843975
12,Matern32,0.12937484505693023,1.165344736200955
13,Matern32,0.965282982887593,3.317933296609844
14,Matern32,0.2706242614347149,1.7313913995592956
15,Matern32,7.584174626630168e-05,0.020566201004818464
16,Matern32,0.1111724315328119,0.8070818876119185
17,Matern32,0.12503361191932288,0.8723100783631899
18,Matern32,3.0686629082268273,4.226760959711758
19,Matern32,0.8862881968107569,2.4413286241131775
20,Matern32,0.08030503865216047,0.802681359875783
21,Matern32,0.3089242616223417,1.5784550977959655
22,Matern32,0.019757819074197137,0.414676591340954
23,Matern32,0.07107888862479217,0.8069672473377812
24,Matern32,0.0002983034546707564,0.053133482620840555
25,Matern32,0.010367421252978896,0.43190687681441775
26,Matern32,0.635874232027244,3.6081084572681963
27,Matern32,0.09399950370001475,1.3796281536523896
28,Matern32,0.00857951242419711,0.43498783678485076
29,Matern32,0.2501584625268385,2.3985480788892533
30,Matern32,0.9015383313012352,3.843738444628099
31,Matern32,0.0007850037761104833,0.12066105308379943
32,Matern32,0.26209278410415493,2.3240874434063588
33,Matern32,0.061692099250545675,1.1562188941835705
34,Matern32,0.34431757302423965,2.8680078312335455
35,Matern32,0.14574468103436253,1.3211331952378595
36,Matern32,0.3578358754965332,2.06855788845665
37,Matern32,0.32664552269933994,2.0309805928876283
38,Matern32,0.6103897303267617,2.9711505153087994
39,Matern32,0.040153214705473415,0.7705514328788443
40,Matern32,0.48045045604132963,2.2752260320544315
41,Matern32,0.026515503096597916,0.56088680666717
42,Matern32,0.6027994467624209,2.794862422310698
43,Matern32,0.17060975663893804,1.512200828611685
44,Matern32,0.11205426866619667,1.2330127396213304
45,Matern32,0.5530777383267078,3.1682530739375956
46,Matern32,0.5376308852010863,3.0699635844081823
47,Matern32,0.17034056748188534,1.8045746007931387
48,Matern32,0.039716902259013045,0.9217026088704792
49,Matern32,0.0007804649519159743,0.13302986048842852
50,Matern32,0.0681501544991627,0.5869595715356093
51,Matern32,0.9709203724165673,2.2242202333766525
52,Matern32,1.1365495213416539,2.544594071542993
53,Matern32,0.0412533848464063,0.4855449828376439
54,Matern32,0.1090894774902009,0.7959575480686545
55,Matern32,0.1660640951849759,0.8617475105181363
56,Matern32,1.457734852842405,2.5593878603939704
57,Matern32,0.004542630501700648,0.14846404557795975
58,Matern32,0.5650583398225835,1.7048855042103734
59,Matern32,0.601053548277786,1.7895323910120564
60,Matern32,0.03686251049428861,0.5738850743216912
61,Matern32,0.2514380407938163,1.545400125616607
62,Matern32,0.5214714113896751,2.211225232275892
63,Matern32,0.26002129515571754,1.6490242849101282
64,Matern32,0.28255008742362314,1.7152283354244333
65,Matern32,0.04755550868442465,0.5695584528561441
66,Matern32,0.04149185271564229,0.5476355042622477
67,Matern32,0.039729154308282374,0.5422422267985725
68,Matern32,0.4201237665555429,1.8349813670088058
69,Matern32,0.00534940973359171,0.20814382623933195
70,Matern32,0.009070120414984275,0.2271543325970762
71,Matern32,0.036651165170870546,0.467627203240603
72,Matern32,2.4941027319482414,4.042519365323711
73,Matern32,0.34729633564937756,1.471620529526195
74,Matern32,1.23499968280195,2.799949095319461
75,Matern32,0.05197934548051121,0.83182755768116
76,Matern32,0.012683953416865927,0.4269113600850151
77,Matern32,2.2510878545539316e-05,0.01845551810933462
78,Matern32,0.2708871724996085,2.051696544400417
79,Matern32,0.6974977897838766,3.5480887876902156
80,Matern32,1.1176505948096394,3.5373672331834847
81,Matern32,0.23983249774964402,1.7523073129813609
82,Matern32,0.15127811439650382,1.4264019804133732
83,Matern32,0.3215628219385422,2.1505479853710927
84,Matern32,0.38246458077589246,2.3295584819387405
85,Matern32,0.3035679322584638,1.3946171229782356
86,Matern32,0.004553656970532064,0.17636388252310692
87,Matern32,0.00025511332096649704,0.04254228586555679
88,Matern32,0.0021135600956037398,0.1250575573605463
89,Matern32,0.5798093670863051,2.148479093437895
90,Matern32,0.27668681393480615,1.0990901953151007
91,Matern32,0.08619266369445498,0.6320253146808702
92,Matern32,1.0594799850184329,2.201566386976433
93,Matern32,2.9128438165363995,3.8961076597095508
94,Matern32,0.19873492385152272,0.9959583955845094
95,Matern32,0.015148475468888851,0.3601590794951074
96,Matern32,0.36050965357540266,1.7764828649281097
97,Matern32,0.010787087316996052,0.31817644056039857
98,Matern32,0.011412221918725138,0.3350336798308163
99,Matern32,0.46571017675182463,2.2371697393255072
100,Matern32,0.7221929292688606,2.4355009628339164
101,Matern32,2.0261143724157944,4.228536928797961
102,Matern32,0.3148557388164891,1.6267462042634746
103,Matern32,0.18782136181324607,1.2886624334674674
104,Matern32,1.4355662974505154,3.580086711262868
105,Matern32,0.08819439860125362,0.5980673324558745
106,Matern32,2.0850241818431563,3.0380189256034735
107,Matern32,0.2598540240920334,1.072983263239286
108,Matern32,0.2617040062951243,1.0755134808583198
109,Matern32,3.454178621405644,3.88295220697491
110,Matern32,0.030183413692888846,0.6323212590084077
111,Matern32,0.06431234578461341,0.9613917083535601
112,Matern32,0.04780007931700315,0.8409985574521557
113,Matern32,0.17202582377127978,1.6333408519116994
114,Matern32,0.5747792424383653,3.1977374010620245
115,Matern32,0.9582371100232657,3.0437641677767413
116,Matern32,0.045176496962112095,0.6966262481462588
117,Matern32,1.29897644036441,3.9286756190201277
118,Matern32,0.034255112404916244,0.631471199607895
119,Matern32,0.02818775123849274,0.5883704003830856
120,Matern32,0.29192387682592,1.0880089463771345
121,Matern32,0.03985353932334051,0.4032169381777476
122,Matern32,1.832199443022026,2.849397201020499
123,Matern32,0.6676982067136142,1.6853004262169826
124,Matern32,0.6252496749060366,1.6578378355354255
