split,kernel_surf_tens,mse_surf_tens,mapd_surf_tens
0,Matern32,2.6959175484971354,7.325933085273302
1,Matern32,0.7123788467204754,1.7049874773947329
2,Matern32,8.444680658087622,8.897124431645128
3,Matern32,1.985885778741423,2.9343155354338997
4,Matern32,1.26214753133692,3.235853638540825
5,Matern32,16.011667871286985,18.158900835390863
6,Matern32,10.315200162861206,14.388015620925781
7,Matern32,0.725447744496236,2.6942961362202986
8,Matern32,16.72155623131696,14.411295115000117
9,Matern32,3.5168593584583854,8.11322753800595
10,Matern32,25.379948882498233,11.691968561260051
11,Matern32,0.45157401224090304,1.2153616522560255
12,Matern32,0.23263025801430892,1.181900145077402
13,Matern32,109.52699529738825,28.674587841462124
14,Matern32,0.5328777936093789,1.4546323870928726
15,Matern32,25.854044429883675,19.850534064595625
16,Matern32,38.973049613457796,22.540809393141366
17,Matern32,19.980409704697834,11.931718107197472
18,Matern32,0.5834618023249222,1.427210197499595
19,Matern32,2.5937765412231775,4.804580085752897
20,Matern32,2.8925281625889836,4.4116477187662495
21,Matern32,43.83809514451606,13.661078368136021
22,Matern32,17.983975009173317,16.47247219597901
23,Matern32,26.531511710876664,17.207612248769625
24,Matern32,1.6767529361986575,2.2770634926377986
