,sigma_C1,sigma_H1,sigma_O1,sigma_S1,epsilon_C1,epsilon_H1,epsilon_O1,epsilon_S1,mse_liq_density,mapd_liq_density,mae_liq_density,mpd_liq_density,mse_surf_tens,mapd_surf_tens,mae_surf_tens,mpd_surf_tens
0,0.20060678539007015,0.19857245844671279,0.34236734087313603,0.38899444204328026,0.35496877029273044,0.07301935730689725,0.6814372450777834,0.7618733421583813,34.038026620526296,0.46983575857371873,5.030253869155513,0.04085854929381601,313.60212605,44.23485683291767,17.706659999999996,-44.234856832917664
1,0.2063446818804542,0.19006410903680487,0.39343738704695597,0.4141311160683623,0.526926625480006,0.08284528461652853,0.6306612148923968,1.1415827192992387,44.864852584894116,0.6160658372411735,6.584755012448204,-0.6160658372411735,1.4725652824999904,2.4633715020021594,0.9902099999999961,-2.457546136333826
2,0.2120129367275431,0.1848841290067304,0.3959693915978142,0.3772873385966957,0.2411792645513913,0.05997555462338573,0.9453750180852024,1.0309685039956844,27.454977632566493,0.4228893025486999,4.507895072830252,-0.42288930254869983,79.08602375299995,22.12197264022453,8.845659999999997,-22.121972640224534
3,0.22221074267481639,0.21971042821126957,0.3224124736691082,0.44128163432748635,0.616513646084583,0.08209039637106132,0.8217614298792039,0.9818982830087406,1.232236614349079,0.0840179329141888,0.9020324819290636,0.04813745821857353,1.1963344975000023,2.3058134856378603,0.9241500000000002,1.948219036910033
4,0.22232892402161897,0.2010897803432879,0.32695945797847953,0.4386585763929132,0.2578079108899913,0.08224798682529583,1.053106238259543,0.7987179760875606,33.14989816384994,0.4932562223771845,5.293599270838513,0.4932562223771845,36.910106107499985,15.158853851147331,6.063529999999998,-15.158853851147333
5,0.2290802282618583,0.20630142810185245,0.3869835879662773,0.2696718404130604,0.5638283092931518,0.02496722923844518,1.1196449433802442,0.986249630109357,52.66308961640756,0.5571114481958538,5.983284893074005,0.3563562018915699,325.75551211949994,45.075302254595314,18.046069999999997,-45.075302254595314
6,0.2310709194807171,0.22574731202553044,0.32273033399063633,0.3543321195968727,0.6069648405105369,0.05943925392926411,0.6739956289472276,0.8108388770634056,50.41655857523928,0.5642465819328966,6.056128021447694,0.3044865883799046,312.91712519699996,44.180632348534026,17.67652,-44.18063234853403
7,0.23874589316892247,0.23072868558080759,0.2746696478566315,0.4052733333511699,0.3259667552461428,0.07882502930032415,0.6336939514142228,0.9596123507914466,68.93201397822553,0.6701937875809576,7.199529242599828,0.6701937875809577,154.17264819699994,30.998799830997335,12.403759999999997,-30.998799830997335
8,0.24095719781594668,0.20190548635462177,0.388736223489867,0.3397566100821221,0.5015619454382092,0.06650019818038112,0.8203166980822449,0.938013881868924,48.47238677484213,0.5707444694538729,6.0854499883640525,-0.5707444694538729,137.35601259949996,29.25799490598874,11.70713,-29.25799490598874
9,0.25341956711979396,0.25210797891990055,0.20306870059388848,0.3891554312531109,0.3344158212392515,0.0440998025812811,0.663022337857093,1.0905489195639668,64.28370919712872,0.6166385459355199,6.627872712633689,0.5380514358910997,305.9240259774999,43.68077120743408,17.484849999999998,-43.68077120743409
