,sigma_C1,sigma_C2,sigma_H1,sigma_H2,sigma_H3,sigma_H4,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_H4,epsilon_O1,epsilon_O2
0,0.5818745226669767,0.7755139309951521,0.261121571548774,0.29387396405004707,0.8434991685754438,0.1406322327730187,0.21997367347717212,0.5258938579080862,0.30601465285623974,0.7526603252357813,0.5784848378659034,0.3686078719394961,0.5187256520617294,0.9677746184705868,0.20247725870521024,0.26223251323962754
1,0.9000224985828281,0.2960366904039312,0.09688910385279419,0.4650551992615906,0.49392345650882197,0.13919893983071077,0.15693730197863484,0.5047802899601931,0.844821598606132,0.657425555898643,0.7426689698733736,0.5404141611340357,0.581853868727545,0.21242941176700242,0.31751563282303247,0.6587624253898633
2,0.9199410298722874,0.014037989280073446,0.6515398393955908,0.39899696638006504,0.793152318446989,0.9499813287897396,0.5758497613509913,0.8792276945946927,0.728662003477181,0.7805983392300959,0.5974510459506579,0.13076424876817064,0.21680141416528736,0.021291145263190713,0.9745425219746848,0.04729428089311756
3,0.8874611388184982,0.1906433031165356,0.3431936797049292,0.3270090796639639,0.2547037417882725,0.30806184099444633,0.7383848182687089,0.13424900135464773,0.17591830948090462,0.7781027691422484,0.1051062605779439,0.3470500415349469,0.35197471873085073,0.13181001709605833,0.35161774878093605,0.47424605990415813
4,0.24279843266405904,0.9638021801908523,0.2679875085094801,0.8045164795303412,0.0651608597447559,0.4439249798132206,0.03664117418694358,0.11349789959260465,0.18062961486925247,0.13668892630830773,0.8093419209209585,0.020774628395627236,0.5002752591442751,0.21548041605902035,0.16215140426070362,0.6442727002311953
5,0.06903768252515834,0.9803604715762774,0.9522383675616637,0.9690972375077554,0.6405797155290176,0.9667921414738876,0.8621515286276309,0.9631185608193503,0.9429452235892144,0.9388025539365908,0.22480971356654378,0.6306189059594537,0.02766134891592952,0.8122618240039313,0.9833891834510989,0.13624337540072537
6,0.39487401564599117,0.743139073637174,0.7098482485280795,0.819385539488975,0.19016425882301316,0.9117111963498075,0.12285889876805259,0.4773812994604476,0.5506359539571761,0.30827894666501987,0.3220485450885514,0.05658157813330228,0.9982229311148825,0.9424045075675201,0.5911737630836074,0.31045410343004726
7,0.4792446886096159,0.46533290303846286,0.9899741056709229,0.041235112482011234,0.9159473658484137,0.2943161797422871,0.842905481745434,0.7359237186100248,0.43492864405157694,0.21685769026066853,0.19103488170950983,0.9224349820858889,0.34637075289724456,0.9088678825865142,0.6190073942600366,0.9131843652472483
8,0.13410296986216427,0.0932696928044376,0.1652593796929459,0.7421333364119443,0.17829965966289582,0.9036423769009561,0.2702398025464624,0.09777760895176443,0.6900980262455971,0.5174223866544686,0.06739416935486889,0.76551729738142,0.8862861629089248,0.587096735680736,0.6428667524808188,0.1306090607029086
9,0.35794176925046556,0.7353862021191577,0.1596564232393907,0.9228500156904942,0.9974024259006107,0.5052453090220907,0.6837450037666762,0.6159698042636894,0.45161764400000703,0.5614145704785944,0.7868518890857991,0.8401421964576922,0.41333659270394335,0.9780086222016031,0.10398544123893241,0.9947464797236387
10,0.3139354590251233,0.3354226780143804,0.830799155914208,0.9044379712925371,0.016981104873415673,0.5876040175255519,0.6470265756475587,0.28170362496695467,0.6284667025455556,0.4801932457763177,0.2626707998246944,0.45185949572567546,0.8918238690805015,0.22908055301745153,0.9996906729092181,0.6529424158825101
11,0.6711798495578077,0.9309238910585411,0.09135005375498967,0.30943397523737387,0.31043322569234477,0.8009898171100136,0.19561154316675233,0.06738347923512411,0.8304218228244963,0.9997667388102306,0.03484855583034199,0.6898989221332192,0.7287361566102377,0.7037571511339551,0.28406248332822015,0.967164720908073
