param_rank,sensitivity_score
sigma_H1,305.201919132154
sigma_C1,279.29807620839426
sigma_H2,249.9018028262561
sigma_C2,227.09090090938577
epsilon_C1,220.66154705934787
sigma_O2,217.84802555599916
epsilon_C2,192.6680089404769
sigma_O1,168.76562166120385
epsilon_O1,116.72677349496169
sigma_C3,116.63369865436671
epsilon_C3,87.00294045635198
epsilon_H1,63.4111806424513
epsilon_O2,44.29424444501157
epsilon_H2,18.310760742858704
