sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
0.04236750229052184,0.3540471407296583,0.06782655748550548,-0.3758543721328507,-0.17093620476271756,0.43305159768624585,-0.023355986873929792,0.3905483161481973,0.5107144860267212,0.17674668232046842,0.08763801902506606,0.013354184073332952,0.23402398010158618,0.049675430450503225
0.38891891280836943,0.28895529815056814,0.22165823131157442,0.43036244510917404,0.32670069343573344,0.4480792974646885,0.41059901668427773,0.040883062383545055,-0.12576597998435046,-0.1518381179878679,0.025277843048521743,0.0052137785007676084,-0.11259122083356399,-0.030273757986190593
0.038818121379662854,0.2853626888272978,-0.012487044495907861,-0.28867551607025105,-0.14553710478474877,0.04292163555037469,-0.07595423126931411,0.30658790644915684,-0.8286087094228073,0.10144058920100402,0.031717583457894806,0.005612500676048788,0.10949084077407874,0.029579860998122952
0.9134161953123036,-0.1886791995351931,-0.048589009067397486,-0.2170657423700832,-0.1224930558915768,-0.18577550521085773,-0.12309411315240361,-0.0941349472909438,0.052965756693437734,0.04339071286976654,-0.02153560596017199,-0.0009697029418266923,0.04154301163616838,0.01353807998771118
-0.015597787172901674,0.6211104653761975,-0.03397950486456651,-0.14771651928006943,-0.10246107432144153,-0.04158528265258984,-0.016312966321603988,-0.7582340869134175,0.012728653477884386,0.04533934898098311,0.007479313877734193,0.0017314004748403885,0.034087026663073554,0.012350410867059698
0.06887167777827431,0.5173013815936226,-0.06586060281895387,0.23274013029439888,0.00827517188355203,-0.6627460021291028,0.02674437172539445,0.40496008483745105,0.1802162996804745,-0.08982886136591255,-0.07490877216021524,-0.018784323620052806,-0.13137113679566345,-0.037040818857508345
-0.0614038744635865,-0.1291998537074967,0.04747770251711024,-0.37532235240946865,-0.018582180471355608,-0.2595195578659306,0.8656826031878913,-0.026676355024770542,0.006649960679922166,0.0475575685583509,0.05399856363490967,0.009646821199888642,0.11511038591138478,0.0060839575921073615
-0.02446585712526511,-0.02141272360755495,0.7276703254625112,0.020213348684012984,0.2762337121628114,-0.24455041536240496,-0.18456173915697743,-0.0472842262116538,-0.01051386338014356,0.013943577555131925,0.139221772881697,0.027563089922258404,0.5243112478845844,0.03566169897735886
0.03232395212064703,-0.03511018563391821,-0.2680339647456565,0.542435021979693,-0.4086338350771962,0.009302901007871987,0.1445958882582695,-0.02842190747943279,-0.03319660840149476,0.26350609914824896,0.0011655708384989544,-0.005728676025733002,0.609464795264701,0.02900956298400752
0.014230848745793612,0.04801280335134732,-0.558695640397073,-0.15452283095084535,0.6612043136633564,0.0005325882737204102,-0.05901888778991297,0.013924240494034236,0.006475913087154844,-0.17830240541329187,-0.02691029795899263,-0.0004876138063419781,0.43139163268059766,-0.044144764708778844
0.015696442377549403,0.00275854400710823,-0.04462186220202432,0.06026796853656168,0.36389809412852786,-0.06329488370888188,-0.007952301624152662,-0.008054499593861815,-0.0021633317018609583,0.8947562741843788,0.093764224520874,0.013667050266226593,-0.21618480663568074,0.03547725123759597
0.008730766409960717,-0.002351183619528483,-0.11218419661029677,0.05732339805444674,0.009985267079044187,-0.04574986951068164,-0.005918591148330921,0.0009047081942723496,0.0029707922123823095,-0.12595529777965944,0.5447183746086841,0.09663950613873414,-0.07612444361081366,0.8087599025913947
0.013448556372962685,-0.005618987426297364,-0.08909819739324693,0.027451271366539607,-0.06265936622709016,-0.03209725090190001,-0.03159756254791712,-0.0021498646714750956,-0.0006716803288755413,-0.05698645381759438,0.7904420965897636,0.14253883883602356,-0.04681653911738211,-0.5784291837544725
-0.0021553384917795512,0.00332440987128569,-0.0014105918574032455,0.004706383692128779,-0.004927635345823718,-0.001786659777245378,0.001756509073583811,0.0034675308144297284,0.0018060213005092975,0.004860793866543687,-0.17666618651269655,0.9842139247462323,-0.0005232998797014859,0.0015576157343755758
