mode_index,sing_value,sigma_C1,sigma_C2,sigma_C3,sigma_H1,sigma_H2,sigma_O1,sigma_O2,epsilon_C1,epsilon_C2,epsilon_C3,epsilon_H1,epsilon_H2,epsilon_O1,epsilon_O2
0,286.391695499972,-0.233189248923274,-0.2899402169863548,-0.1246503745505933,0.6736270634850781,0.36436550465608764,-0.1024939372936678,0.13766660844255324,-0.3073646198398523,-0.28221869394414506,-0.12366003915216535,-0.06031519395256583,-0.02124694285925988,-0.18117834474747535,-0.06082623733446193
1,187.50707837043714,0.8931127344088488,0.03218655510522885,0.017767244848242828,-0.006270525363618297,0.2112188723758213,0.09863668710641242,0.2910949830186666,-0.1673233902295621,-0.1309943411513683,-0.07865834901836802,-0.06682453985177036,-0.004571269504754387,-0.07450083975284261,-0.022343156505774064
2,112.65432474730255,-0.10545093936367946,0.7359775078622819,0.07438497793781547,0.41830174638691214,-0.1732333100701954,0.2415415388242265,0.3888900978746997,0.1301500734812361,-0.03008042417862179,0.02413407389414248,0.06450745666044867,-0.02830634146032704,0.059905196976385015,0.011946036557648868
3,67.44738495563128,0.014517648793441633,-0.3457335542947613,0.04629777418717783,0.20920092025564294,0.2347085208051612,0.6238223507682671,0.06890934447707468,0.268675373113107,0.5448734900216706,0.08789057642158844,0.06867108563429607,0.01669295535153557,0.05448222191405367,0.02443584723394224
4,50.271272755659375,-0.2132517209587814,0.05014831963606133,-0.17299010123753272,-0.3772055909906652,0.5509911374808504,-0.21332182987164286,0.5238334659356679,0.36486171100459097,-0.04821713805036233,-0.03289346463533999,0.11264516744555896,0.008277928705403703,0.005725346713958817,-0.08354101870603284
5,41.254039183681705,-0.13009642824804288,0.09970075912819666,0.18560394549563955,-0.2296272391971339,0.2661566741904592,0.5800085520225978,-0.2987961300657505,0.047309984232704355,-0.6114791414463319,-0.02324535004635467,0.0033921452103825513,0.010519648879313214,-0.11171282201777992,0.01189604338029074
6,38.67871432527615,0.17281411490196558,0.1429681956011063,0.47592137351815755,0.2873553489072291,0.3533542656704315,-0.3688867208369966,-0.40647370514577036,0.422243646116418,0.036446714904159495,-0.08218165313742098,0.07208594089361878,-0.0032276524293171475,0.14358397190906383,0.04762942513426453
7,32.30521158792806,-0.094070854653943,0.4379975210245841,-0.08121766823164608,-0.14644286945250268,0.4504560695595725,0.021805961288222205,-0.2523308288505555,-0.5330143762143281,0.4445816037208464,-0.0744510218242954,-0.04270154778088467,0.0285762008479931,-0.10935108959678234,0.0480857566513895
8,28.92376307707924,-0.17068704918067135,-0.1551599653709216,0.7364462643585702,-0.14509278156920707,0.01036580735083009,-0.011730474289458784,0.358823957691802,-0.3764735296438591,0.018947712571757563,0.04164844663805656,-0.07868798718900415,-0.04586423241685571,0.3140513035940511,0.06030869224641985
9,15.160710046034174,0.06751156122146915,0.01705896629698641,-0.2818758024326201,0.07959456367763028,0.17473338307689348,-0.019240819511237833,-0.08669056556600177,-0.1288925834668789,-0.16498122973897,0.6362109619467715,0.1340346558383191,-0.012027778494364426,0.5956504347071722,0.22234839919123492
10,10.598172707168992,0.004962876523052864,0.013876442530130307,0.2224965124820177,0.0008364988453654396,0.01684306488482025,-0.11295118264756054,0.057546406370061504,0.03456151507496168,0.037661693793589836,0.7032396803271733,-0.013916801431873916,-0.004671007015899249,-0.6559020752732934,0.07963787737784944
11,7.029820552496308,0.03926146140345079,-0.049173498714886646,0.07240058194067185,-0.0047426769170008575,-0.06163280344245441,-0.007773965915906057,-0.005983246109413334,-0.17210187749025457,-0.01295584412503817,-0.07071304557991442,0.9650330726852951,0.041127677782041974,-0.09549455541717955,-0.09997279061991653
12,4.941719791945525,-0.01563232466903619,-0.04415414679708202,-0.0357380969202839,-0.012379010128031154,-0.02140183197829878,-0.018938198867723795,0.08611461598859496,0.03722215143351244,-0.024525937130198017,-0.2213500119498245,0.07228900114459567,0.09383168767537123,-0.1262526429661479,0.9524654935027927
13,2.8666370529004914,-0.004898185244025287,0.006440837846464891,0.03416599179112918,0.02917025769626326,-0.012101496313029411,-0.010735336788523933,0.02687490058613133,-0.010168155853476753,-0.020560653229221282,0.03540557896618369,-0.04933645823478133,0.9923082575534279,0.03586643533747127,-0.08219792168437956
